,Ratio_personnel_2008,Cout_personnel_hab_2008,Impot_hab_2008,Ratio_investissement_2008,Ratio_fonctionnement_2008,budget_hab_2008,Pop2008,partis.2008_Centre,partis.2008_Droite,partis.2008_Gauche,partis.2008_Indefini,budget_2008,d1.2_2008,d1.3_2008,d1.4_2008,d1.5_2008,d1_2008,d2.1_2008,d2.2_2008,d2.3_2008,d2_2008,depenses_2008,r1.1_2008,r1.2_2008,r1.3_2008,r1_2008,r2.1_2008,r2.2_2008,r2_2008,recettes_2008
75101,,,,,,,17440.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75102,,,,,,,21793.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75103,,,,,,,34824.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75104,,,,,,,27977.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75105,,,,,,,62143.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75106,,,,,,,44322.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75107,,,,,,,57082.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75108,,,,,,,38702.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75109,,,,,,,59157.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75110,,,,,,,94321.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75111,,,,,,,152672.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75112,,,,,,,142673.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75113,,,,,,,179500.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75114,,,,,,,136464.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75115,,,,,,,234091.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75116,,,,,,,165074.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75117,,,,,,,167070.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75118,,,,,,,196000.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75119,,,,,,,184909.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75120,,,,,,,195083.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
77020,0.28778467908902694,228.24302134646962,208.53858784893268,0.23371989295272078,0.7662801070472792,1840.7224958949098,609.0,0,0,0,1,1121000.0,139000.0,2000.0,53000.0,9000.0,373000.0,0.0,99000.0,10000.0,110000.0,483000.0,62000.0,74000.0,127000.0,486000.0,0.0,19000.0,152000.0,638000.0
