,label
78455,1
78460,1
78465,1
78470,1
78472,1
78474,2
78475,1
78478,2
78484,1
78486,1
78497,1
78503,1
78506,0
78516,0
78522,1
78528,1
78536,1
78537,1
78548,0
78558,2
78559,1
78561,2
78564,1
78565,1
78567,2
78569,1
78576,0
78590,1
78591,2
78597,0
78601,0
78605,1
78608,2
78618,2
78620,2
78623,1
78638,1
78647,0
78653,2
78655,1
78668,0
78677,0
78681,1
77001,1
77002,0
77003,1
77004,1
77005,1
77006,1
77007,1
77008,1
77009,1
77010,1
77011,1
77012,1
77013,1
77015,2
77016,1
77019,1
77021,1
77026,1
77028,1
77029,0
77030,1
77031,1
77032,2
77036,2
77038,1
77040,0
77041,1
77042,1
77043,1
77044,1
77047,1
77054,0
77057,0
77059,1
77061,1
77062,1
77065,1
77066,1
77069,0
77070,1
77071,1
77072,0
77075,0
77076,1
77077,0
77080,2
77086,1
77087,0
77088,1
77089,1
77090,2
77091,1
77093,2
77094,1
77095,1
77096,1
77097,0
77098,2
77099,1
77100,1
77101,0
77102,2
77103,1
77106,2
77107,1
77109,0
77110,2
77111,2
77112,1
77113,1
77115,2
77116,1
77117,2
77119,0
77120,2
77124,1
77127,2
77128,1
77132,0
77134,0
77135,1
77136,1
77138,1
77139,0
77140,2
77142,1
77143,0
77144,0
77145,0
77147,1
77148,0
77149,1
77150,1
77155,0
77156,0
77157,2
77159,0
77161,1
77162,1
77164,0
77168,1
77171,0
77173,1
77175,2
77177,1
77179,1
77182,2
77185,1
77187,1
77190,1
77191,1
77192,0
77193,1
77195,2
77196,0
77197,0
77198,0
77200,0
77201,2
77203,1
77204,1
77206,2
77207,1
77208,1
77209,1
77210,0
77211,1
77212,2
77214,1
77218,0
77219,1
77220,1
77222,2
77223,2
77227,2
77228,0
77230,2
77231,1
77233,1
77235,1
77236,2
77239,0
77241,2
77242,1
77245,0
77247,1
77248,1
77252,1
77254,2
77256,0
77260,0
77262,1
77263,1
77264,1
77269,1
77270,1
77271,1
77272,2
77275,1
77276,2
77278,1
77279,0
77282,2
77286,2
77287,1
77290,1
77292,1
77293,1
77295,2
77297,1
77298,1
77300,1
77302,1
77303,2
77308,0
77310,1
77311,0
77312,1
77313,1
77314,1
77316,3
77317,0
77319,1
77320,2
77321,2
77323,0
77325,1
77328,1
77329,0
77332,0
