Geometry X Y;Geometry;INSEE;lv1962;lv1968;lv1975;lv1982;lv1990;lv1999;lv2006;Lv2007;Lv2008;Lv2009
48.5319781274, 2.92630787191;"{""type"": ""Polygon"", ""coordinates"": [[[2.970969151194759, 48.55785219415244], [2.964063541464982, 48.53116371169654], [2.952948956885082, 48.52802321828317], [2.95032308329179, 48.522569801040355], [2.930832793639492, 48.51836607716075], [2.927474134922925, 48.50219653414077], [2.93904017430368, 48.50073275100245], [2.91257546451242, 48.49164375717072], [2.897860815527245, 48.50178053680242], [2.901601183558826, 48.50705871445316], [2.913518405077074, 48.50654902881945], [2.917772258816166, 48.51391040283206], [2.893817000574495, 48.512915595934366], [2.881288665212467, 48.5158721623355], [2.879848101142227, 48.52904454904136], [2.888420259125647, 48.536557136973094], [2.909399610722882, 48.536866775925645], [2.901214910356568, 48.54117044016968], [2.902000214549064, 48.54474568060427], [2.912961793450452, 48.55102146693425], [2.936249090458809, 48.55688098894305], [2.939501294878395, 48.56593757874643], [2.957730478345242, 48.56743097215766], [2.955326759930322, 48.56152677337914], [2.963495348750637, 48.55712035826509], [2.970969151194759, 48.55785219415244]]]}";77191;8.0;19.0;3.0;31.0;4.0;17.0;28.35;27.0;27.67;28.679105
48.5467084837, 2.27447235165;"{""type"": ""Polygon"", ""coordinates"": [[[2.282933185744239, 48.55949625662024], [2.299737666374192, 48.551499623824505], [2.294543788034422, 48.5427390657696], [2.288204674538897, 48.543914547157364], [2.284368919803823, 48.53395809589764], [2.263691154004603, 48.53514265053849], [2.258928981022594, 48.53249567309542], [2.252376637776496, 48.53993680541862], [2.263869030692435, 48.56170675893062], [2.266881313859227, 48.55837241567644], [2.282933185744239, 48.55949625662024]]]}";91156;1.0;6.0;15.0;21.0;13.0;28.0;30.0;30.0;30.64;31.155492
48.5311252958, 2.0890993598;"{""type"": ""Polygon"", ""coordinates"": [[[2.122229766080342, 48.52945972544821], [2.107632384523361, 48.52108605806917], [2.113979203724785, 48.515442394151314], [2.106997264859769, 48.5090527334089], [2.09535967082381, 48.51440608630891], [2.073997004702132, 48.510114074968016], [2.060760993648109, 48.54938022751421], [2.09299498327078, 48.552502585362696], [2.098747203107331, 48.54206541201732], [2.10703425470536, 48.542271348499725], [2.122229766080342, 48.52945972544821]]]}";91593;8.0;9.0;16.0;12.0;19.0;38.0;22.56;21.777777;21.0;21.154184
48.5364853521, 2.17949480574;"{""type"": ""Polygon"", ""coordinates"": [[[2.18827544124631, 48.546957095830095], [2.193068861532814, 48.54261986823635], [2.195156591985341, 48.537074090696144], [2.187296721207081, 48.534564068297456], [2.18739900423179, 48.51845856299965], [2.182419307292805, 48.51794830597197], [2.175563579022497, 48.519980063845], [2.17321266979896, 48.53931966557412], [2.157106714601194, 48.53690326143207], [2.173593160124643, 48.5513612566285], [2.18827544124631, 48.546957095830095]]]}";91578;6.0;6.0;6.0;6.0;10.0;12.0;2.07;2.0;2.01;2.0
48.5126246506, 2.56914093369;"{""type"": ""Polygon"", ""coordinates"": [[[2.560989771246533, 48.535501132746845], [2.580941446057027, 48.52846359529241], [2.588090728011817, 48.520543445513454], [2.585841853459282, 48.51474819649515], [2.581383334492942, 48.51639457754046], [2.57560525110728, 48.51105633965201], [2.574820174236079, 48.505347709117906], [2.584115081759562, 48.49400611106734], [2.579749043217962, 48.49203721679733], [2.55882743387318, 48.490704400363626], [2.560939726712232, 48.503199882970584], [2.552502353012093, 48.504718058497254], [2.551005920557684, 48.50919920100653], [2.555671576815911, 48.51460378988974], [2.566192358859892, 48.512541618264336], [2.572139613977181, 48.51948965590266], [2.556984172037771, 48.52990661461161], [2.552755270909034, 48.53300427953552], [2.548756575720775, 48.53728726310054], [2.560989771246533, 48.535501132746845]]]}";77040;12.0;59.0;39.0;40.0;21.0;19.0;44.93;45.963236;47.0;47.215104
48.504334315, 3.39688437273;"{""type"": ""Polygon"", ""coordinates"": [[[3.405422300783269, 48.527816399402205], [3.423561637016057, 48.51452251135843], [3.437960679518628, 48.49035295972673], [3.421212831755568, 48.49233113777188], [3.410042057655634, 48.48563845791017], [3.407315881292023, 48.48847918335293], [3.399211643211324, 48.487197453004434], [3.399989161847183, 48.48367374246313], [3.38413863664111, 48.47805667876998], [3.383175439218493, 48.4785692111154], [3.358453466504445, 48.51128792184454], [3.397129811182484, 48.52945011446019], [3.405422300783269, 48.527816399402205]]]}";77289;24.0;12.0;13.0;10.0;14.0;14.0;8.39;8.195121;8.0;8.0
48.5242061051, 2.61496234294;"{""type"": ""Polygon"", ""coordinates"": [[[2.631814659399795, 48.52749724070719], [2.601020432660607, 48.515837839902126], [2.601943426732469, 48.523982984132545], [2.608843041357624, 48.52343301157493], [2.61225847777449, 48.529694487989914], [2.616282690924001, 48.52692509493921], [2.628006346932123, 48.53146384505957], [2.631814659399795, 48.52749724070719]]]}";77038;8.0;18.0;9.0;12.0;4.0;13.0;5.0;5.0;7.74;7.368421
48.5020650833, 2.12791967505;"{""type"": ""Polygon"", ""coordinates"": [[[2.149977908381701, 48.50956338496043], [2.151345627987072, 48.50203888427496], [2.137171308211095, 48.48672750961804], [2.148597440220241, 48.480749071500085], [2.140657012256626, 48.4809334317464], [2.127809797328539, 48.467358754449975], [2.120964739566199, 48.46800236546707], [2.117450221018844, 48.47079227834262], [2.123359734471511, 48.480362603866716], [2.121631789831822, 48.49219348628719], [2.105068863326472, 48.49293417472519], [2.10027528935215, 48.499569751908474], [2.106824258593852, 48.50252379426125], [2.106997264859769, 48.5090527334089], [2.113979203724785, 48.515442394151314], [2.107632384523361, 48.52108605806917], [2.122229766080342, 48.52945972544821], [2.14309134054894, 48.52301365867185], [2.149977908381701, 48.50956338496043]]]}";91662;11.0;7.0;14.0;12.0;14.0;9.0;17.0;17.383872;17.55;9.126825
48.5067965788, 2.44848895754;"{""type"": ""Polygon"", ""coordinates"": [[[2.469772674788485, 48.52769581942599], [2.475217141308442, 48.52351673042976], [2.475282881134103, 48.51792328800177], [2.468645008028882, 48.51591691213553], [2.473466745907884, 48.51211632339218], [2.483086655472302, 48.501834790739196], [2.479048170951501, 48.494933696634405], [2.468579601427894, 48.49622335567456], [2.469518221075186, 48.482823409571196], [2.449434731033979, 48.48424811137898], [2.437997047130487, 48.487199524471635], [2.440759001458803, 48.49483164564065], [2.418261343847274, 48.50444519822958], [2.406403925343676, 48.50215109273147], [2.40590552703494, 48.503797028724755], [2.411958530953815, 48.50658081667647], [2.413285477725891, 48.524780782965564], [2.447823221859071, 48.5200219477115], [2.461637070689655, 48.528118771423564], [2.469772674788485, 48.52769581942599]]]}";91135;4.0;12.0;18.0;21.0;14.0;20.0;26.4;26.196971;26.0;26.114538
48.5066281491, 2.65857413215;"{""type"": ""Polygon"", ""coordinates"": [[[2.670031442014613, 48.51287721232749], [2.672954698248626, 48.49069274270449], [2.674725153669533, 48.48842133449776], [2.673553842855663, 48.487246790969564], [2.664316713155366, 48.50207572812021], [2.660826874545977, 48.5022836002732], [2.662530651199703, 48.48753981796849], [2.640793252231238, 48.49451556140217], [2.650898412715029, 48.517976723343125], [2.655012606557478, 48.51785733609801], [2.653396559049348, 48.52343730063727], [2.670178246483927, 48.52677043329586], [2.670031442014613, 48.51287721232749]]]}";77389;15.0;29.0;56.0;59.0;61.0;93.0;71.0;72.028241;72.39;80.224499
48.5008872744, 2.25331847642;"{""type"": ""Polygon"", ""coordinates"": [[[2.277416852115933, 48.50474696237694], [2.270800537646829, 48.50396994512524], [2.268595424886217, 48.493564316264546], [2.274007272023792, 48.49348651325602], [2.265270070601998, 48.48206087145261], [2.247653592147745, 48.477417248238645], [2.247847544057924, 48.49007882126874], [2.226024586984806, 48.496920862727364], [2.229122722646168, 48.50335349028883], [2.22277277101825, 48.50485802095191], [2.228493686808366, 48.51263316458564], [2.240755573822504, 48.51284205366291], [2.257400725981548, 48.51434769584254], [2.26949299406943, 48.520299578409286], [2.275517361690644, 48.5198263936209], [2.277416852115933, 48.50474696237694]]]}";91318;7.0;9.0;10.0;24.0;19.0;30.0;25.13;24.064815;23.0;22.971815
48.5048007661, 2.49549409979;"{""type"": ""Polygon"", ""coordinates"": [[[2.497479777992563, 48.51730935813163], [2.508793296628005, 48.51662724844326], [2.508493944781098, 48.50828262020944], [2.513519082871854, 48.50949785522099], [2.511899781986384, 48.495382090761005], [2.50424761776283, 48.4970842972035], [2.494646431224926, 48.49018288132858], [2.479048170951501, 48.494933696634405], [2.483086655472302, 48.501834790739196], [2.473466745907884, 48.51211632339218], [2.48579528755486, 48.51170504618931], [2.492574169128263, 48.51983414600997], [2.497479777992563, 48.51730935813163]]]}";91441;4.0;1.0;1.0;5.0;4.0;6.0;7.0;6.88172;7.44;8.0
48.4861577554, 3.34615158677;"{""type"": ""Polygon"", ""coordinates"": [[[3.383175439218493, 48.4785692111154], [3.376262052856033, 48.477202936592185], [3.373343978961965, 48.4799906412484], [3.358627201206785, 48.46808233114444], [3.344263449391853, 48.46464071621465], [3.340415125269713, 48.46964818216155], [3.321575288724742, 48.4668548278934], [3.311865707576216, 48.4932621386301], [3.340364870945579, 48.499542375158185], [3.338610503693266, 48.50654573398307], [3.358453466504445, 48.51128792184454], [3.383175439218493, 48.4785692111154]]]}";77227;10.0;12.0;12.0;10.0;17.0;13.0;11.31;12.0;12.26;12.469752
48.4997918664, 2.53381413198;"{""type"": ""Polygon"", ""coordinates"": [[[2.551005920557684, 48.50919920100653], [2.552502353012093, 48.504718058497254], [2.560939726712232, 48.503199882970584], [2.55882743387318, 48.490704400363626], [2.548427218113388, 48.48826939711863], [2.543375191694615, 48.49334155050761], [2.537746163080122, 48.49312689124712], [2.511124701828848, 48.48649867210053], [2.51027877523668, 48.4883164658364], [2.511899781986384, 48.495382090761005], [2.513519082871854, 48.50949785522099], [2.528090147327633, 48.51536424545026], [2.528905286675628, 48.50910404321103], [2.53582401051627, 48.509883413877496], [2.542110821465552, 48.505034170793465], [2.546533782004273, 48.51097912286339], [2.551005920557684, 48.50919920100653]]]}";77435;10.0;10.0;19.0;19.0;21.0;18.0;18.25;18.331798;23.58;24.790137
48.4849534519, 2.09151607718;"{""type"": ""Polygon"", ""coordinates"": [[[2.106997264859769, 48.5090527334089], [2.106824258593852, 48.50252379426125], [2.10027528935215, 48.499569751908474], [2.105068863326472, 48.49293417472519], [2.121631789831822, 48.49219348628719], [2.123359734471511, 48.480362603866716], [2.117450221018844, 48.47079227834262], [2.120964739566199, 48.46800236546707], [2.114877523624961, 48.462361297220596], [2.082402265061313, 48.45928049452839], [2.070533266397001, 48.464064192597], [2.072855242535464, 48.472486624657776], [2.060376259776287, 48.48170117429477], [2.06504494003468, 48.48879859247436], [2.061428175307995, 48.49213508598254], [2.073997004702132, 48.510114074968016], [2.09535967082381, 48.51440608630891], [2.106997264859769, 48.5090527334089]]]}";91081;9.0;14.0;18.0;8.0;14.0;5.0;15.35;15.523256;22.51;22.255815
48.4786214342, 3.1176454953;"{""type"": ""Polygon"", ""coordinates"": [[[3.110850652301575, 48.49778237349933], [3.118435402020668, 48.49391723080438], [3.123716716261782, 48.483880419658355], [3.150983936679842, 48.48196091504695], [3.15176044801226, 48.47814227898819], [3.139138238290153, 48.47545361704645], [3.141688815895419, 48.46500361229337], [3.139993088748253, 48.46129255943512], [3.145511861314959, 48.458069723305904], [3.122686358849556, 48.4561622001367], [3.115301190669307, 48.46204070406892], [3.102571931669714, 48.46344954165423], [3.095946441901674, 48.473278512150856], [3.109572951436993, 48.482512006797194], [3.091091883656872, 48.49487608594279], [3.088842206788839, 48.505439818314024], [3.10229571972164, 48.50730118114661], [3.110850652301575, 48.49778237349933]]]}";77159;22.0;41.0;43.0;60.0;75.0;79.0;98.29;97.142857;96.0;96.834783
48.4782453932, 1.82644365166;"{""type"": ""Polygon"", ""coordinates"": [[[1.842888707035796, 48.49526906594699], [1.850336702050693, 48.47923137246946], [1.853989704264347, 48.4678533038616], [1.83652569834898, 48.46709406727113], [1.801417569522256, 48.46612420762006], [1.803254561010894, 48.47268854941869], [1.792240589462211, 48.47816665999933], [1.796108239274065, 48.484516051029196], [1.806328730044119, 48.486389880623406], [1.809411848491515, 48.480064417713095], [1.826952510800522, 48.4870151312183], [1.829657179788375, 48.49649658000593], [1.842888707035796, 48.49526906594699]]]}";78472;6.0;6.0;15.0;3.0;9.0;7.0;10.0;10.666666;10.67;7.161616
48.4812061161, 2.36705077042;"{""type"": ""Polygon"", ""coordinates"": [[[2.391062795707112, 48.4806854498295], [2.386091383257644, 48.47317001641374], [2.354190394652775, 48.478305176651894], [2.348968173441269, 48.472280909415446], [2.34403264241935, 48.47629198504599], [2.346320355835176, 48.486893947492504], [2.35301571292861, 48.48448318865118], [2.36703363908667, 48.49116171014641], [2.391062795707112, 48.4806854498295]]]}";91232;20.0;27.0;36.0;55.0;83.0;121.0;78.43;92.215803;85.61;79.0
48.4740084261, 2.50994058038;"{""type"": ""Polygon"", ""coordinates"": [[[2.511124701828848, 48.48649867210053], [2.521986917391495, 48.4717965912567], [2.514097917750031, 48.4627897826565], [2.506291752374217, 48.46144391726015], [2.501644891112119, 48.46683730982525], [2.502148578426713, 48.471953304442785], [2.501635683970538, 48.484579539739826], [2.51027877523668, 48.4883164658364], [2.511124701828848, 48.48649867210053]]]}";77412;2.0;3.0;1.0;19.0;7.0;7.0;3.3;3.0;3.08;3.12
48.46767654, 2.25384365743;"{""type"": ""Polygon"", ""coordinates"": [[[2.270481434124207, 48.47922241861999], [2.276341361885303, 48.47641105344914], [2.263693610282004, 48.468580144385776], [2.275045933957808, 48.463020570505044], [2.265668915571165, 48.458329997837595], [2.259707959378577, 48.44867719832609], [2.25266098261669, 48.451351928964655], [2.247735460923186, 48.45432738322601], [2.248512780888408, 48.45800318495357], [2.235964028514006, 48.46592405748159], [2.22867702627276, 48.46531483953113], [2.237545224977349, 48.48003464628155], [2.247653592147745, 48.477417248238645], [2.265270070601998, 48.48206087145261], [2.270481434124207, 48.47922241861999]]]}";91671;6.0;7.0;17.0;16.0;11.0;5.0;3.01;3.012606;5.01;5.007004
48.4641900083, 2.3715838978;"{""type"": ""Polygon"", ""coordinates"": [[[2.386091383257644, 48.47317001641374], [2.40560441740498, 48.47181990143907], [2.39981560453017, 48.460456825533335], [2.3628177044901, 48.448934126226334], [2.360386224663143, 48.45239675549425], [2.353140095422532, 48.45134593093492], [2.345610933028306, 48.45328915118979], [2.348968173441269, 48.472280909415446], [2.354190394652775, 48.478305176651894], [2.386091383257644, 48.47317001641374]]]}";91293;6.0;3.0;6.0;34.0;11.0;13.0;12.26;13.173441;14.09;15.0
48.4326291275, 2.2788460857;"{""type"": ""Polygon"", ""coordinates"": [[[2.281688563172232, 48.45959787192749], [2.275358361533339, 48.45079100554333], [2.293211012454166, 48.44027813591376], [2.296939360651379, 48.442536610446936], [2.30929531047103, 48.43760342029619], [2.319051104572385, 48.441885745334716], [2.322715736875808, 48.43487215812206], [2.328959204516572, 48.43346093833732], [2.325285573712233, 48.4248998511608], [2.310468378380375, 48.41686718988142], [2.288764750086317, 48.41181535048516], [2.284219218408042, 48.41857561291553], [2.279212592073299, 48.413978059784036], [2.266104779464892, 48.417630537403355], [2.249580338728262, 48.4116120855504], [2.243917703496502, 48.41328016559082], [2.248434339695712, 48.418085724716995], [2.245703755356822, 48.433955173286925], [2.232305024580451, 48.43734273690708], [2.239508828600985, 48.44394061151058], [2.25266098261669, 48.451351928964655], [2.259707959378577, 48.44867719832609], [2.265668915571165, 48.458329997837595], [2.275045933957808, 48.463020570505044], [2.281688563172232, 48.45959787192749]]]}";91100;8.0;5.0;7.0;12.0;7.0;12.0;10.18;21.916667;22.46;23.0
48.384115514, 2.23054276673;"{""type"": ""Polygon"", ""coordinates"": [[[2.247516470830818, 48.38722312738892], [2.244816971274948, 48.37946954417853], [2.222190693781943, 48.368729999645616], [2.20977725829412, 48.3837339833662], [2.218114341386368, 48.386188961105205], [2.213999868260852, 48.390428971484674], [2.218621617128927, 48.394390541622805], [2.224195631955165, 48.38950437060653], [2.235898817027171, 48.397482663218035], [2.251948929127239, 48.39273886589217], [2.247516470830818, 48.38722312738892]]]}";91248;0.0;1.0;0.0;0.0;2.0;0.0;5.68;6.0;6.24;6.243244
48.2719807619, 2.86946186139;"{""type"": ""Polygon"", ""coordinates"": [[[2.889837837378613, 48.286266507996636], [2.900953853382871, 48.28626544869635], [2.900059143096727, 48.271351445301434], [2.887390484151974, 48.26580269499581], [2.89317908188454, 48.260675601440255], [2.884211295756572, 48.253372672206034], [2.860463572282325, 48.25771181477136], [2.837135597422141, 48.25185573302961], [2.845260170880665, 48.26304189448334], [2.836840173706349, 48.27225175705916], [2.84017178382944, 48.28480833480199], [2.849446701031465, 48.280027586483705], [2.858326412663754, 48.28147065622267], [2.871391857046242, 48.29385507472702], [2.889837837378613, 48.286266507996636]]]}";77504;11.0;13.0;19.0;21.0;9.0;7.0;12.0;12.058394;12.09;30.975
48.2231341942, 2.70803771749;"{""type"": ""Polygon"", ""coordinates"": [[[2.708823566161452, 48.239942349419515], [2.715484603022309, 48.21560212041988], [2.727028378402676, 48.21802065362319], [2.734244732184507, 48.2100283320739], [2.722529343717609, 48.206849783501866], [2.71731189382602, 48.198234977719984], [2.709596197765563, 48.22158222740262], [2.698231638200225, 48.2196362813931], [2.69772217044806, 48.22364845708408], [2.683921284895762, 48.22256779633063], [2.693958942767794, 48.23758946361612], [2.70709142622218, 48.24236697196122], [2.708823566161452, 48.239942349419515]]]}";77016;40.0;7.0;55.0;37.0;41.0;24.0;38.52;41.539357;38.77;36.0
48.1826614265, 2.62090668443;"{""type"": ""Polygon"", ""coordinates"": [[[2.648962253343933, 48.1859280250708], [2.638628490423433, 48.178106078904996], [2.635250239217217, 48.18203565273798], [2.628504584578152, 48.166505981447344], [2.62228381365721, 48.16698952452683], [2.595583147837068, 48.17120846490932], [2.6077587223014, 48.195503462561966], [2.625458858617375, 48.19562132889943], [2.626254289812149, 48.20221132744688], [2.648962253343933, 48.1859280250708]]]}";77271;4.0;3.0;6.0;10.0;4.0;3.0;3.0;3.0;3.0;3.050847
49.1508341553, 1.69513750721;"{""type"": ""Polygon"", ""coordinates"": [[[1.721923625503014, 49.171938893480046], [1.719203952115057, 49.16567416580072], [1.708321300585056, 49.15871744138785], [1.706006655936999, 49.141321265094035], [1.691890341861415, 49.1285536131812], [1.674522434258909, 49.13918334337389], [1.671238567657972, 49.14296049470622], [1.676995953349329, 49.14589740491728], [1.678735102844935, 49.15633030969655], [1.698435311466314, 49.1671792263908], [1.706021935780312, 49.164829049725476], [1.70903121042705, 49.17191404298024], [1.718695697988516, 49.17341438296485], [1.721923625503014, 49.171938893480046]]]}";95011;11.0;12.0;9.0;8.0;11.0;17.0;2.95;3.015624;9.22;9.60874
49.1427491331, 1.66604283226;"{""type"": ""Polygon"", ""coordinates"": [[[1.678735102844935, 49.15633030969655], [1.676995953349329, 49.14589740491728], [1.671238567657972, 49.14296049470622], [1.674522434258909, 49.13918334337389], [1.669703535143833, 49.13875073747901], [1.675369241608349, 49.13375122173801], [1.671227370445157, 49.12737439436916], [1.655683275611111, 49.13068252106345], [1.658335419092364, 49.13514980193787], [1.653251570842334, 49.13660417914152], [1.653036753593731, 49.144668970239955], [1.664025525703599, 49.15411367078168], [1.671466140093596, 49.158509676494674], [1.678735102844935, 49.15633030969655]]]}";95101;16.0;16.0;18.0;32.0;16.0;7.0;15.38;16.190477;17.0;17.295284
49.123747842, 2.07303216331;"{""type"": ""Polygon"", ""coordinates"": [[[2.09211752797456, 49.11635576678552], [2.072856256583076, 49.10082752846335], [2.065663125914253, 49.10136830408533], [2.060411982638679, 49.10973704288263], [2.050085067106259, 49.109495875782976], [2.04754845033648, 49.12162976432213], [2.064511070559645, 49.13150934523069], [2.067295224128606, 49.1436651314733], [2.084703000636097, 49.14916326086554], [2.091930983467224, 49.145716694413025], [2.085481034590181, 49.139048128820015], [2.08999852155559, 49.13741225520162], [2.088476178718929, 49.12943240372118], [2.093429586325571, 49.12812107831693], [2.09211752797456, 49.11635576678552]]]}";95213;13.0;18.0;8.0;9.0;15.0;5.0;14.95;15.108697;11.31;10.653683
49.1230765343, 1.99299510144;"{""type"": ""Polygon"", ""coordinates"": [[[2.011558259969152, 49.13155139627152], [2.003144465598916, 49.12335279529296], [2.00499785880179, 49.114644140318376], [2.001221373827676, 49.11599107315146], [1.991166764860846, 49.10800257174648], [1.988952517166164, 49.10927285668794], [1.981609821067338, 49.11698417491293], [1.975236291842055, 49.12488693621725], [1.980818872708219, 49.12979648753262], [1.982210355190079, 49.13067309954939], [1.996519396289599, 49.13234413133285], [2.000408327839589, 49.135945410520065], [2.000617282261117, 49.13582714891354], [2.011558259969152, 49.13155139627152]]]}";95254;6.0;9.0;13.0;15.0;12.0;4.0;5.11;5.13369;5.59;6.793583
49.134645078, 2.1034869679;"{""type"": ""Polygon"", ""coordinates"": [[[2.111528644579377, 49.143751421535846], [2.115845771878065, 49.14084616060332], [2.122969542680682, 49.144861406747985], [2.13071313720681, 49.141880981530164], [2.121186463476884, 49.13568548827109], [2.114460116533619, 49.12285800895847], [2.108578388467714, 49.123664809393006], [2.105652595015817, 49.113506141740984], [2.09211752797456, 49.11635576678552], [2.093429586325571, 49.12812107831693], [2.088476178718929, 49.12943240372118], [2.08999852155559, 49.13741225520162], [2.085481034590181, 49.139048128820015], [2.091930983467224, 49.145716694413025], [2.084703000636097, 49.14916326086554], [2.084794551517094, 49.15271559444323], [2.102873367549075, 49.15078442637969], [2.111528644579377, 49.143751421535846]]]}";95627;2.0;9.0;6.0;3.0;7.0;12.0;14.0;14.0;14.21;13.638376
49.1259002833, 1.81520238512;"{""type"": ""Polygon"", ""coordinates"": [[[1.83551796868195, 49.14065652315415], [1.831644422533108, 49.120000770944245], [1.827529852831656, 49.116421366879976], [1.815167528048917, 49.107786515677475], [1.793240013896029, 49.115031881586894], [1.798140892342147, 49.1317189635253], [1.803496867127981, 49.132050178365134], [1.802300090601503, 49.13743095886027], [1.813473880015181, 49.1409897276808], [1.819007818650238, 49.13872164508396], [1.822971697611034, 49.1437305432984], [1.83551796868195, 49.14065652315415]]]}";95046;10.0;6.0;2.0;4.0;4.0;1.0;1.9;4.135802;4.57;5.0
49.1154175492, 2.44091291332;"{""type"": ""Polygon"", ""coordinates"": [[[2.439131105394289, 49.141732773805664], [2.435497144166486, 49.13403818967656], [2.423340762384777, 49.13247092141333], [2.414211108820605, 49.12617804943019], [2.415707416717967, 49.12232347296844], [2.425923993933817, 49.11739606419557], [2.430567783992094, 49.114636035934126], [2.461213890439956, 49.136711087740146], [2.471421530741506, 49.135638461588385], [2.475321341824419, 49.12854757538215], [2.499171771546621, 49.12229342443442], [2.50321207843752, 49.117737327078956], [2.49139655402574, 49.11144991721328], [2.490147867042733, 49.10634371837188], [2.483986067545059, 49.10697226693582], [2.48285063588866, 49.112099569587976], [2.462905281964219, 49.11204222658774], [2.449811226020722, 49.100841902823625], [2.44112051111031, 49.10365583894717], [2.425732379334004, 49.09202316116507], [2.410341095263492, 49.092331166040104], [2.41013553724933, 49.09722273793969], [2.397645796702926, 49.10143882582222], [2.391022374271339, 49.10169431263145], [2.391149959818152, 49.110182998802635], [2.395923568233461, 49.115774114710675], [2.408446918571138, 49.12654028005061], [2.411171361871183, 49.13407444286055], [2.420984409198382, 49.134355460087164], [2.428138491754465, 49.141876904551786], [2.439131105394289, 49.141732773805664]]]}";95352;29.0;39.0;63.0;60.0;53.0;88.0;94.47;94.930092;120.14;120.069338
49.1263919554, 1.88778269783;"{""type"": ""Polygon"", ""coordinates"": [[[1.882982713058784, 49.13786851644774], [1.896314370150521, 49.12757869544498], [1.91524616969843, 49.126660609137204], [1.908865259787126, 49.12371030518184], [1.908372525725039, 49.11973761629017], [1.905619243479779, 49.11652597717105], [1.899394827129184, 49.11394829210525], [1.886868790648834, 49.11598615744287], [1.881281234388285, 49.118742893245596], [1.872918703972497, 49.12513028755429], [1.877669445069675, 49.1270379173287], [1.865998556666645, 49.13236834151349], [1.866997617426788, 49.13828076977102], [1.87482923442777, 49.140632748813765], [1.882982713058784, 49.13786851644774]]]}";95169;20.0;18.0;3.0;6.0;4.0;1.0;2.0;2.0;2.06;2.014084
49.1135999984, 1.90931461422;"{""type"": ""Polygon"", ""coordinates"": [[[1.913793079481247, 49.107910608641454], [1.912799803834515, 49.1083331180112], [1.905870266906048, 49.1113019184734], [1.899394827129184, 49.11394829210525], [1.905619243479779, 49.11652597717105], [1.908372525725039, 49.11973761629017], [1.915345131732026, 49.1150511821434], [1.91347679528784, 49.11315664224312], [1.916971234326195, 49.11110239145989], [1.913793079481247, 49.107910608641454]]]}";95282;2.0;3.0;7.0;3.0;4.0;3.0;5.0;5.078125;5.23;4.664063
49.0889448958, 1.8691270459;"{""type"": ""Polygon"", ""coordinates"": [[[1.899394827129184, 49.11394829210525], [1.905870266906048, 49.1113019184734], [1.890509798290241, 49.09508292961519], [1.886786921473582, 49.08433085843775], [1.892696823353745, 49.08179994051377], [1.887872856478021, 49.07781527144295], [1.893796981299177, 49.0751314751924], [1.890761308674251, 49.0717383659434], [1.870754525312086, 49.07852029569146], [1.851990679634918, 49.068271433157044], [1.840385693948108, 49.06949872279775], [1.823630188790542, 49.07634045340693], [1.820492526400929, 49.08186600495886], [1.831490311973479, 49.082787350153254], [1.850109237920655, 49.082840975325176], [1.852773291886592, 49.09181819399451], [1.861225983195874, 49.08713231271316], [1.869170884201411, 49.0939996183399], [1.862361571557152, 49.09721806465562], [1.886868790648834, 49.11598615744287], [1.899394827129184, 49.11394829210525]]]}";95040;10.0;18.0;16.0;10.0;17.0;14.0;11.18;11.315285;9.32;10.162155
49.0924616764, 2.37109970152;"{""type"": ""Polygon"", ""coordinates"": [[[2.391022374271339, 49.10169431263145], [2.388088652417468, 49.090553284013936], [2.396463655208164, 49.08649352062471], [2.379410742517126, 49.0783806605339], [2.375613632357084, 49.071763348579516], [2.370276244358432, 49.07281717594547], [2.362478913393983, 49.081847885672616], [2.349678336253882, 49.08101369893304], [2.34397088308667, 49.08989001437046], [2.361656449130873, 49.10707266102635], [2.391149959818152, 49.110182998802635], [2.391022374271339, 49.10169431263145]]]}";95056;19.0;35.0;34.0;38.0;37.0;32.0;43.14;44.0;44.12;44.480875
49.0998885462, 2.49953307554;"{""type"": ""Polygon"", ""coordinates"": [[[2.490147867042733, 49.10634371837188], [2.531362845784394, 49.09950980138333], [2.531089646615444, 49.09620092619199], [2.524961458517367, 49.09800068642192], [2.487727996717269, 49.09435059984131], [2.478018952982588, 49.094281999472386], [2.483986067545059, 49.10697226693582], [2.490147867042733, 49.10634371837188]]]}";95250;21.0;23.0;327.0;153.0;69.0;40.0;106.48;110.740742;115.0;114.93523
49.079981874, 2.15478165583;"{""type"": ""Polygon"", ""coordinates"": [[[2.159826749691515, 49.103575536942714], [2.173464476427184, 49.08812825191721], [2.182317860670466, 49.07668376840553], [2.186583460098116, 49.0784340252643], [2.193428186197313, 49.07368562810309], [2.189518064801129, 49.07212492966709], [2.168562484133904, 49.064047593322776], [2.145751765464836, 49.06688054377097], [2.126877088765402, 49.06400582922686], [2.120195269235026, 49.064775772432824], [2.125930238135205, 49.07745726474295], [2.133500660000841, 49.080699332710886], [2.130521533256381, 49.085999739104416], [2.148610502899505, 49.09251460713786], [2.142076041925356, 49.09670331612741], [2.149839638857963, 49.10424315155392], [2.159826749691515, 49.103575536942714]]]}";95039;25.0;64.0;64.0;32.0;134.0;140.0;130.79;145.632598;148.82;152.0
