Geometry X Y;Geometry;INSEE;lv1962;lv1968;lv1975;lv1982;lv1990;lv1999;lv2006;Lv2007;Lv2008;Lv2009
48.3582330812, 2.11319213053;"{""type"": ""Polygon"", ""coordinates"": [[[2.125297908725663, 48.386368143240425], [2.124398710914958, 48.381906231212724], [2.145398425419906, 48.383283606541816], [2.147347862190796, 48.378242165915545], [2.123963170177671, 48.37636610212161], [2.126171236976691, 48.36802531471788], [2.13318980687499, 48.36781336992731], [2.13511360113989, 48.36259225773656], [2.12721098468706, 48.35816262771252], [2.12951616111883, 48.35212402180779], [2.119880309244781, 48.32778168064327], [2.100615351739372, 48.332499965804544], [2.109015279915265, 48.344845706704724], [2.072536629565938, 48.34031502389434], [2.094740421100352, 48.353898292065495], [2.093391963931749, 48.35932678166078], [2.103922327838131, 48.36395307242139], [2.116602894246767, 48.361847303620316], [2.094756938737132, 48.38413071545982], [2.100710704340252, 48.386948938433775], [2.106618103802103, 48.38233902677506], [2.116518231427936, 48.38427413277143], [2.125297908725663, 48.386368143240425]]]}";91533;10.0;4.0;18.0;46.0;30.0;61.0;41.87;42.576627;40.29;38.0
48.3509558723, 2.13719884157;"{""type"": ""Polygon"", ""coordinates"": [[[2.152798602235594, 48.36787397925369], [2.145123719739554, 48.36325713275717], [2.15591850281543, 48.3484195828924], [2.156906278713886, 48.347584873920034], [2.130752820657154, 48.32356667002976], [2.11857501739632, 48.324038365383444], [2.119880309244781, 48.32778168064327], [2.12951616111883, 48.35212402180779], [2.12721098468706, 48.35816262771252], [2.13511360113989, 48.36259225773656], [2.13318980687499, 48.36781336992731], [2.126171236976691, 48.36802531471788], [2.123963170177671, 48.37636610212161], [2.147347862190796, 48.378242165915545], [2.14701559171656, 48.36970784864005], [2.152798602235594, 48.36787397925369]]]}";91544;4.0;4.0;9.0;10.0;8.0;5.0;19.0;19.085202;19.17;11.531202
48.3663197447, 3.04917265307;"{""type"": ""Polygon"", ""coordinates"": [[[3.072792619599173, 48.36933001529685], [3.066400811974196, 48.3576448892641], [3.050312699374993, 48.36021170207404], [3.040907302098872, 48.364056684566584], [3.023659997388925, 48.35908200256981], [3.029006346146662, 48.3720079004652], [3.037570748528427, 48.370588192444636], [3.039482233265092, 48.37504572187131], [3.072792619599173, 48.36933001529685]]]}";77021;7.0;6.0;7.0;7.0;6.0;7.0;10.41;8.615787;8.31;8.0
48.358437263, 2.27659977625;"{""type"": ""Polygon"", ""coordinates"": [[[2.266789849710618, 48.37181479139518], [2.308684474593708, 48.36946793443735], [2.30320028244319, 48.35637360740466], [2.283832918796574, 48.34897452624582], [2.285711315484566, 48.34577412476994], [2.276013575530587, 48.34472622479491], [2.276475416715666, 48.342037771520246], [2.254489148996953, 48.34197895562756], [2.253566696365564, 48.36151859626141], [2.258555418147091, 48.37279855611424], [2.266789849710618, 48.37181479139518]]]}";91399;8.0;4.0;2.0;4.0;6.0;6.0;5.0;5.0;5.0;5.30303
48.3402875193, 2.59990322892;"{""type"": ""Polygon"", ""coordinates"": [[[2.626400898407679, 48.35239073109451], [2.614730648914708, 48.33042466277852], [2.603511991553812, 48.33066756287287], [2.600670106783894, 48.32621402877024], [2.58532653955569, 48.32381200183411], [2.577048778376393, 48.329701983136424], [2.58924763102229, 48.358154206652415], [2.59025768812015, 48.35243276526278], [2.596115019799907, 48.35022528839972], [2.604827756701014, 48.35737187325131], [2.618334691201421, 48.350279938368445], [2.626400898407679, 48.35239073109451]]]}";77477;26.0;14.0;6.0;13.0;27.0;20.0;20.03;22.803378;24.4;26.0
48.3350667363, 2.70138943652;"{""type"": ""Polygon"", ""coordinates"": [[[2.720155940381808, 48.352767785374304], [2.730759856720547, 48.323451895090685], [2.723760756466856, 48.3215696970335], [2.697050183488543, 48.31966174467314], [2.674180151776446, 48.33120675789985], [2.666192309666426, 48.33878398570375], [2.669946343296698, 48.3455532562168], [2.706344787872096, 48.346015500257614], [2.711889191639291, 48.35325414427172], [2.720155940381808, 48.352767785374304]]]}";77048;30.0;62.0;78.0;63.0;43.0;68.0;84.19;84.255124;91.5;93.748615
48.3309557079, 2.79317893381;"{""type"": ""Polygon"", ""coordinates"": [[[2.815881243810611, 48.331719740263864], [2.808433596706549, 48.32130182288904], [2.804136944674139, 48.3174349397413], [2.790767509876449, 48.317984054499576], [2.773615569120283, 48.32392376043802], [2.774279784482355, 48.32897495015705], [2.764562981702063, 48.33761794817457], [2.774655523688824, 48.34114929701617], [2.784046884253725, 48.33545624290718], [2.794005669853862, 48.34345566239531], [2.798876711272308, 48.348013028743736], [2.811288981909507, 48.33669398442783], [2.816104910528106, 48.336790557626024], [2.815881243810611, 48.331719740263864]]]}";77170;6.0;7.0;3.0;11.0;15.0;9.0;10.67;10.833332;11.0;11.092437
48.314983571, 2.75321569043;"{""type"": ""Polygon"", ""coordinates"": [[[2.773615569120283, 48.32392376043802], [2.783320954362124, 48.30991155100825], [2.782747644274869, 48.30454533612398], [2.741940342898146, 48.295311059883595], [2.733824459578025, 48.29661681064126], [2.734064624109928, 48.30142689529262], [2.719317281902593, 48.31350065406213], [2.725917150141555, 48.31796532033437], [2.723760756466856, 48.3215696970335], [2.730759856720547, 48.323451895090685], [2.742322047551166, 48.324265256130225], [2.745458418473034, 48.333552139154136], [2.764562981702063, 48.33761794817457], [2.774279784482355, 48.32897495015705], [2.773615569120283, 48.32392376043802]]]}";77202;9.0;18.0;19.0;26.0;31.0;7.0;5.94;6.0;17.09;18.044025
48.2978302651, 2.93973318622;"{""type"": ""Polygon"", ""coordinates"": [[[2.971358314375326, 48.31316579970022], [2.967939290641885, 48.29533470460506], [2.958137301790505, 48.29605456127886], [2.944905779429555, 48.28401373007616], [2.946773382489027, 48.27136918008175], [2.929193431555108, 48.27123810291084], [2.920003338367571, 48.274415390834136], [2.905357202787601, 48.284840512499905], [2.92780132889719, 48.31324941201559], [2.943983097728928, 48.318064467474116], [2.950782328490634, 48.32059956774514], [2.947298028171498, 48.332344805391806], [2.962732766656192, 48.323105819516755], [2.966807659159184, 48.312570803504826], [2.971358314375326, 48.31316579970022]]]}";77465;24.0;22.0;16.0;21.0;13.0;9.0;16.28;16.278746;24.21;24.603998
48.2850918246, 2.96984039904;"{""type"": ""Polygon"", ""coordinates"": [[[2.989312691030878, 48.27350506585272], [2.957742987322385, 48.259771934325045], [2.946773382489027, 48.27136918008175], [2.944905779429555, 48.28401373007616], [2.958137301790505, 48.29605456127886], [2.967939290641885, 48.29533470460506], [2.971358314375326, 48.31316579970022], [2.988225421113061, 48.315398798845116], [2.981389443266945, 48.307992165617954], [2.981924941363201, 48.304553933264565], [2.989565843140019, 48.303385918409866], [2.991705298631516, 48.29586470515245], [2.985233361095684, 48.27890613917963], [2.992874770536674, 48.27911373743844], [2.989312691030878, 48.27350506585272]]]}";77531;10.0;14.0;22.0;84.0;72.0;69.0;82.88;123.289422;132.14;141.0
