code,name,party
77186,Fontainebleau,UDI
77187,Fontaine-Fourches,NA
77188,Fontaine-le-Port,NA
77190,Fontains,NA
77191,Fontenailles,DVD
77192,Fontenay-Trésigny,DVG
77193,Forfry,NA
77194,Forges,NA
77195,Fouju,NA
77196,Fresnes-sur-Marne,NA
77197,Frétoy,NA
77198,Fromont,NA
77199,Fublaines,DVD
77200,Garentreville,NA
77201,Gastins,NA
77202,La Genevraye,NA
77203,Germigny-l'Evêque,DVD
77204,Germigny-sous-Coulombs,NA
77205,Gesvres-le-Chapitre,NA
77206,Giremoutiers,SE
77207,Gironville,NA
77208,Gouaix,NA
77209,Gouvernes,DVD
77210,La Grande-Paroisse,NA
77211,Grandpuits-Bailly-Carrois,DVD
77212,Gravon,NA
77214,Gressy,UMP-LR
77215,Gretz-Armainvilliers,DVD
77216,Grez-sur-Loing,DVD
77217,Grisy-Suisnes,DVD
77218,Grisy-sur-Seine,NA
77219,Guérard,DVD
77220,Guercheville,NA
77221,Guermantes,DVD
77222,Guignes,DVD
77223,Gurcy-le-Châtel,NA
77224,Hautefeuille,NA
77225,La Haute-Maison,NA
77226,Héricy,DVD
77227,Hermé,NA
77228,Hondevilliers,NA
77229,La Houssaye-en-Brie,DVD
77230,Ichy,NA
77231,Isles-les-Meldeuses,NA
77232,Isles-lès-Villenoy,NA
77233,Iverny,NA
77234,Jablines,NA
77235,Jaignes,NA
77236,Jaulnes,NA
77237,Jossigny,NA
77238,Jouarre,DVD
77239,Jouy-le-Châtel,DVD
77240,Jouy-sur-Morin,UMP-LR
77241,Juilly,DVD
77242,Jutigny,NA
77243,Lagny-sur-Marne,UDI
77244,Larchant,NA
77245,Laval-en-Brie,NA
77246,Léchelle,NA
77247,Lescherolles,NA
77248,Lesches,NA
77249,Lésigny,UMP-LR
77250,Leudon-en-Brie,NA
77251,Lieusaint,PS
77252,Limoges-Fourches,NA
77253,Lissy,NA
77254,Liverdy-en-Brie,DVD
77255,Livry-sur-Seine,DVG
77256,Lizines,NA
77257,Lizy-sur-Ourcq,UMP-LR
77258,Lognes,PS
77259,Longperrier,UMP-LR
77260,Longueville,DVG
77261,Lorrez-le-Bocage-Préaux,DVD
77262,Louan-Villegruis-Fontaine,NA
77263,Luisetaines,NA
77264,Lumigny-Nesles-Ormeaux,DVG
77265,Luzancy,DVD
77266,Machault,NA
77267,La Madeleine-sur-Loing,UMP-LR
77268,Magny-le-Hongre,UMP-LR
77269,Maincy,DVD
77270,Maisoncelles-en-Brie,UMP-LR
77271,Maisoncelles-en-Gâtinais,NA
77272,Maison-Rouge,UMP-LR
77273,Marchémoret,NA
77274,Marcilly,DVD
77275,Les Marêts,NA
77276,Mareuil-lès-Meaux,DVD
77277,Marles-en-Brie,DVD
77278,Marolles-en-Brie,NA
77279,Marolles-sur-Seine,DVD
77280,Mary-sur-Marne,UMP-LR
77281,Mauperthuis,NA
77282,Mauregard,NA
77283,May-en-Multien,NA
77284,Meaux,UMP-LR
77285,Le Mée-sur-Seine,UDI
77286,Meigneux,NA
77287,Meilleray,NA
77288,Melun,UMP-LR
77289,Melz-sur-Seine,NA
77290,Méry-sur-Marne,NA
77291,Le Mesnil-Amelot,NA
