Geometry X Y;Geometry;AREA;PERIMETER;INSEE;ACT15_19;ACT20_24;ACT25_29;ACT30_34;ACT35_39;ACT40_44;ACT45_49;ACT50_54;ACT55_59;ACT60_64;ACT65PL
48.9153171092, 2.26769437548;"{""type"": ""Polygon"", ""coordinates"": [[[2.266377055542334, 48.90639852682525], [2.263339404830734, 48.90336605787921], [2.258206037185836, 48.90609644915935], [2.257471173708871, 48.913505976424666], [2.273349137661841, 48.92687911400148], [2.280632037377293, 48.9191401510709], [2.26771055107283, 48.91062911285032], [2.266377055542334, 48.90639852682525]]]}";1941312.37791;6433.58159229;92009;209.25;998.22;1998.35;2204.29;2270.83;2086.15;1895.34;1588.7;1110.18;467.87;106.56
48.9097375364, 2.33259300527;"{""type"": ""Polygon"", ""coordinates"": [[[2.351964728409582, 48.90149997647298], [2.330126315803688, 48.900988266784736], [2.31982800900708, 48.90044766771321], [2.313833662696944, 48.9139537669777], [2.320559283449057, 48.91651783917746], [2.333261950676172, 48.92327247152561], [2.339934868906423, 48.91956744680466], [2.337778809334392, 48.915179020480196], [2.350780649134018, 48.911005489068245], [2.351964728409582, 48.90149997647298]]]}";4569071.48984;8962.7323509;93070;443.45;2412.6;3755.93;3835.73;3406.64;3202.52;2639.01;2358.89;1819.87;606.06;128.36
48.9074942384, 2.43856535449;"{""type"": ""Polygon"", ""coordinates"": [[[2.475453091843478, 48.91638980713229], [2.470046762448032, 48.90506529600374], [2.441631054371579, 48.89839524152909], [2.427686703313081, 48.89588020714783], [2.41159448907238, 48.90616161516592], [2.41517771628761, 48.91192359527645], [2.41015023602547, 48.916630155707594], [2.413579224318423, 48.919334736381316], [2.455872373918295, 48.91041366234031], [2.475453091843478, 48.91638980713229]]]}";6766617.42596;12794.8043253;93008;620.82;2416.27;2693.61;2922.6;2872.69;2972.89;2726.41;2336.77;1920.17;500.53;158.08
48.8990423009, 2.87792279937;"{""type"": ""Polygon"", ""coordinates"": [[[2.896461173736545, 48.91019354387944], [2.905037831548883, 48.89783979509561], [2.898446974654062, 48.88431989600083], [2.884958724851228, 48.881651552774635], [2.876684165406618, 48.88184384761404], [2.875927816887788, 48.886280967942746], [2.866531071770062, 48.890012058802824], [2.85594192465881, 48.890708167799374], [2.853773832460728, 48.89729186605198], [2.847368973165927, 48.89785125326616], [2.850514890556002, 48.90661429109056], [2.866804556964322, 48.915649787864275], [2.896461173736545, 48.91019354387944]]]}";10593650.8563;12852.4683395;77382;75.55;229.88;276.46;334.55;419.49;390.46;366.34;293.71;235.48;35.79;8.15
48.9034858828, 2.30575696472;"{""type"": ""Polygon"", ""coordinates"": [[[2.31982800900708, 48.90044766771321], [2.303832228682686, 48.894122317014016], [2.287388411664055, 48.903549819398634], [2.313833662696944, 48.9139537669777], [2.31982800900708, 48.90044766771321]]]}";2748691.12229;6787.40826379;92024;484.54;2989.04;5791.1;5607.65;4788.41;3714.73;3158.86;2673.45;2576.02;903.89;264.83
48.8954362325, 1.74604662345;"{""type"": ""Polygon"", ""coordinates"": [[[1.761266992903769, 48.908837332312594], [1.759372306809655, 48.90048226426636], [1.7707444013128, 48.89606067550269], [1.748341272631978, 48.87941830869389], [1.722296191710059, 48.88954216516795], [1.731040776549395, 48.90271868904169], [1.749028069841573, 48.911248099384665], [1.761266992903769, 48.908837332312594]]]}";7052796.20016;10758.8539442;78300;4.72;6.61;22.65;27.37;30.2;35.86;23.59;27.37;16.99;3.78;3.78
48.8980909433, 2.56721261866;"{""type"": ""Polygon"", ""coordinates"": [[[2.591481089391915, 48.90711664632981], [2.584190989049544, 48.9033376585423], [2.589173994831307, 48.898749415421534], [2.586872439424424, 48.89404222292263], [2.562712400555296, 48.889703993230796], [2.559132916670741, 48.88520560340144], [2.547224185910381, 48.88739540240791], [2.546195266165182, 48.898881117651825], [2.56514397343922, 48.908413249951394], [2.577426596681037, 48.906490588875265], [2.583872616616099, 48.910640540415066], [2.591481089391915, 48.90711664632981]]]}";5464266.59518;10459.0054414;93047;279.27;1200.56;1093.58;1335.11;1455.04;1502.13;1528.01;1183.51;880.0;337.57;73.76
48.8986154581, 2.25603123669;"{""type"": ""Polygon"", ""coordinates"": [[[2.284129582810942, 48.90223542471643], [2.270998705091725, 48.89834376232674], [2.253681821850314, 48.886911686264405], [2.233740627621474, 48.89567240483154], [2.231615939001626, 48.900697431469816], [2.258206037185836, 48.90609644915935], [2.263339404830734, 48.90336605787921], [2.266377055542334, 48.90639852682525], [2.274327860114656, 48.908318596987755], [2.284129582810942, 48.90223542471643]]]}";4410787.21339;9724.02533448;92026;438.3;3342.09;8059.83;8023.38;7922.23;6475.99;5109.49;4605.27;3812.64;1152.36;610.55
48.8914121943, 2.92956878434;"{""type"": ""Polygon"", ""coordinates"": [[[2.943321975414214, 48.892013388811556], [2.945256526218046, 48.88627451758858], [2.940194696263116, 48.88718268001902], [2.944087286349464, 48.882098958911726], [2.940691980300619, 48.87985070314396], [2.924767218255515, 48.882226998364935], [2.922453414315968, 48.88837213919919], [2.914711639119966, 48.88990439883755], [2.918339181542983, 48.89339328264338], [2.905037831548883, 48.89783979509561], [2.934871985669669, 48.90155459284358], [2.943321975414214, 48.892013388811556]]]}";3773972.9378;9537.07930745;77130;8.06;13.1;17.13;22.16;40.3;36.27;34.25;25.19;22.16;2.01;4.03
48.8925387226, 1.57641005734;"{""type"": ""Polygon"", ""coordinates"": [[[1.583221378210065, 48.89386211567092], [1.585436539905301, 48.88808511630662], [1.574346133668288, 48.8865187161306], [1.568610530703863, 48.893207169341615], [1.568078334230225, 48.8967469050759], [1.575597988541613, 48.89914450120386], [1.583221378210065, 48.89386211567092]]]}";1137752.39586;4167.49923015;78237;4.02;7.04;6.04;6.04;15.09;12.07;14.08;10.06;9.05;0.0;0.0
