Geometry X Y;Geometry;AREA;PERIMETER;INSEE;ACT15_19;ACT20_24;ACT25_29;ACT30_34;ACT35_39;ACT40_44;ACT45_49;ACT50_54;ACT55_59;ACT60_64;ACT65PL
48.5820270737, 2.97681138054;"{""type"": ""Polygon"", ""coordinates"": [[[3.035145561818956, 48.592925520034356], [3.034675234819941, 48.58449296939078], [3.026223853542784, 48.584976299572055], [3.027698413905004, 48.577907827951236], [3.018785179563041, 48.57128896898894], [2.981306621247005, 48.56841455802123], [2.972098336529509, 48.56461754303962], [2.970969150965788, 48.55785219408346], [2.963495348762206, 48.557120358708836], [2.955326759828247, 48.561526773201976], [2.957730478056765, 48.567430971945974], [2.939501295431206, 48.56593757842613], [2.937608052528943, 48.57074983392887], [2.924929165512627, 48.5711490349451], [2.92398886764578, 48.583375256903956], [2.920517822096836, 48.583276265406745], [2.923606589267161, 48.59005896374594], [2.952383797528106, 48.59536516497357], [2.97760184076077, 48.59755471165877], [2.986825677971967, 48.60343121812587], [3.014139303908136, 48.59343054938865], [3.029374852625683, 48.59716062096544], [3.035145561818956, 48.592925520034356]]]}";24731479.3495;24101.234526;77211;26.18;47.54;43.69;44.63;55.27;86.32;78.63;57.21;47.51;9.7;2.91
48.5677179399, 2.08158030245;"{""type"": ""Polygon"", ""coordinates"": [[[2.092713904521377, 48.59344537144207], [2.094344291208609, 48.58710905872959], [2.108156985856895, 48.5840352661081], [2.102761021904669, 48.57567911639379], [2.108115720333156, 48.5723178034209], [2.101436005531779, 48.554885467584334], [2.092994982726758, 48.55250258544875], [2.060760993082435, 48.5493802272266], [2.055674582121906, 48.54826164395565], [2.054826916765176, 48.57610070443765], [2.074243572054709, 48.57664188118554], [2.077454746025106, 48.58198189461619], [2.085239884001822, 48.58356413389373], [2.08720650501342, 48.59415280669273], [2.092713904521377, 48.59344537144207]]]}";12685409.0699;16188.1583107;91630;12.12;61.59;39.37;70.67;107.02;129.23;149.42;101.97;82.79;11.11;5.05
48.5752170693, 2.40125835929;"{""type"": ""Polygon"", ""coordinates"": [[[2.422411780778586, 48.57336098838758], [2.412520098743015, 48.56472620851287], [2.402465080920151, 48.56321278417863], [2.39071261643288, 48.55748175300668], [2.387132290779947, 48.56697055721092], [2.382972071702692, 48.56631587501568], [2.385304044032222, 48.58188104391349], [2.389979332844639, 48.581321402793684], [2.393552801936644, 48.58925112667333], [2.40362789261763, 48.59189842650328], [2.410334105812326, 48.58919646892352], [2.422411780778586, 48.57336098838758]]]}";6766351.07292;10805.7732378;91204;9.67;31.9;42.53;40.59;48.33;64.76;76.36;54.13;54.13;8.7;0.97
48.5629763653, 3.28748567822;"{""type"": ""Polygon"", ""coordinates"": [[[3.311017968061444, 48.58390437787325], [3.311573190340552, 48.56024701369754], [3.319207406087486, 48.55988435267871], [3.320733125109258, 48.55617484472874], [3.314548365568287, 48.55026573962031], [3.317830149009744, 48.547692268274325], [3.308555699225696, 48.54440862541433], [3.290983862378487, 48.5413023094787], [3.290047948662766, 48.548333972165935], [3.270998121132351, 48.55094773559736], [3.259383625152623, 48.55651077455778], [3.259026020402499, 48.56136106956025], [3.250106529713666, 48.56185595128228], [3.247593505151838, 48.56893589301183], [3.273588631930267, 48.58004673384702], [3.281806844981995, 48.5802933309179], [3.28759134755345, 48.573724809964496], [3.298011921108071, 48.5807237479802], [3.302562701062567, 48.578445744701035], [3.30499388547934, 48.585008175575624], [3.311017968061444, 48.58390437787325]]]}";14822958.3725;18661.6440212;77379;242.83;805.49;752.39;663.0;611.4;694.97;609.91;667.19;381.95;103.8;44.42
48.5634739658, 3.21914974254;"{""type"": ""Polygon"", ""coordinates"": [[[3.219895911206689, 48.58043251397198], [3.23772238245018, 48.575355006112865], [3.234515196359551, 48.57109064691561], [3.247593505151838, 48.56893589301183], [3.250106529713666, 48.56185595128228], [3.243166402608364, 48.559438490836364], [3.236093922352463, 48.55113107812881], [3.197072277960596, 48.54819637863125], [3.192779256881593, 48.55456907717257], [3.195665782810536, 48.56330663077602], [3.191115797093816, 48.566623518844885], [3.198119668591236, 48.567325974163985], [3.208409251129066, 48.57538622690014], [3.201928490550007, 48.57914106192434], [3.215949532128124, 48.58107471286631], [3.219895911206689, 48.58043251397198]]]}";10517776.5624;14258.0370076;77532;2.07;2.07;3.1;3.1;5.16;6.2;5.16;7.23;5.16;0.0;0.0
48.5704396797, 2.6639141104;"{""type"": ""Polygon"", ""coordinates"": [[[2.674773943581429, 48.579723787780445], [2.677433220818473, 48.574194313951836], [2.666964848107809, 48.558829735349505], [2.653265087195285, 48.56039752033552], [2.653821237054654, 48.573040461485995], [2.65535627489356, 48.5802745162216], [2.674773943581429, 48.579723787780445]]]}";3279491.85814;7197.48113608;77528;17.75;32.56;51.29;40.44;58.19;89.77;88.77;72.99;60.17;3.95;0.99
48.5634669667, 2.74134061605;"{""type"": ""Polygon"", ""coordinates"": [[[2.765368967765968, 48.57272733122241], [2.760969967312877, 48.57013595015524], [2.765867678883582, 48.56295929486046], [2.757343826409504, 48.56112070581038], [2.765953017467373, 48.5539751992021], [2.758747997247606, 48.5509356914614], [2.750100098338444, 48.548557467670385], [2.728129710492116, 48.54665697867847], [2.724280605151782, 48.56900814389056], [2.710544297168147, 48.5730739617772], [2.722506442189647, 48.57789002901355], [2.733852944331839, 48.57999118914567], [2.756229530364668, 48.5720060760766], [2.762323713666704, 48.57475316984186], [2.765368967765968, 48.57272733122241]]]}";8996221.92167;14191.9367871;77295;15.78;30.63;49.19;65.9;69.61;83.53;104.88;87.24;50.12;14.85;6.5
48.5547429623, 3.15185633332;"{""type"": ""Polygon"", ""coordinates"": [[[3.165595977888918, 48.57283831202885], [3.166491486251505, 48.56637466715628], [3.159212892655566, 48.55717372822868], [3.167332294462035, 48.54766273633928], [3.173724790468784, 48.54924348438487], [3.184202578463645, 48.54248371753324], [3.18716928244168, 48.53535689327868], [3.162639629397698, 48.531707221082655], [3.139972630321115, 48.53674440768998], [3.132914640443083, 48.543377153925775], [3.13834458217362, 48.54669331429622], [3.119452423389762, 48.572797388132585], [3.124717091627148, 48.57580060996486], [3.138167232372487, 48.57365594696266], [3.141725026784952, 48.57747082533649], [3.168002387849197, 48.577380245089394], [3.165595977888918, 48.57283831202885]]]}";13927450.9948;18288.2487852;77272;16.0;41.0;44.0;62.0;61.0;78.0;60.0;49.0;40.0;5.0;1.0
48.5588344083, 2.48729392567;"{""type"": ""Polygon"", ""coordinates"": [[[2.521400765146971, 48.57323366726736], [2.525023006110531, 48.573430118637255], [2.519384750861643, 48.56294939381762], [2.499268215832371, 48.5428456734925], [2.472299198902556, 48.54077698269477], [2.465177518086931, 48.54134284579763], [2.469522786761074, 48.55597772318703], [2.453801119207816, 48.55831519451505], [2.456320390139602, 48.56379802791656], [2.473605523050602, 48.57772592425053], [2.479922421494543, 48.5778207590313], [2.484087426625529, 48.57060860075555], [2.49318306026792, 48.5673860281455], [2.521400765146971, 48.57323366726736]]]}";12295975.1594;16478.3828828;91179;41.36;185.78;350.01;363.65;384.47;358.95;288.22;230.57;154.19;50.58;10.13
48.5388695119, 2.52493039875;"{""type"": ""Polygon"", ""coordinates"": [[[2.548034962393877, 48.568403034242806], [2.52957881425854, 48.54691666711813], [2.535606043017549, 48.54017078410505], [2.548756575721296, 48.53728726275168], [2.552755270527046, 48.53300427996868], [2.556984171939652, 48.52990661439877], [2.546929128096593, 48.52776752273245], [2.547698199358365, 48.52072490157152], [2.528090146967979, 48.515364245346746], [2.513519083114647, 48.50949785516833], [2.508493944990299, 48.508282620153466], [2.508793296065179, 48.51662724858162], [2.497479778246499, 48.51730935818569], [2.51082059284761, 48.54299034790852], [2.499268215832371, 48.5428456734925], [2.519384750861643, 48.56294939381762], [2.525023006110531, 48.573430118637255], [2.531538977554674, 48.57378321775273], [2.548034962393877, 48.568403034242806]]]}";15997049.069;21850.8554937;77407;149.38;516.2;765.4;780.03;763.6;787.78;825.65;706.66;515.32;127.33;34.97
48.5545744548, 2.70557126321;"{""type"": ""Polygon"", ""coordinates"": [[[2.728129710492116, 48.54665697867847], [2.714728419387027, 48.5440225869154], [2.712424681065159, 48.533032157444104], [2.696808848404247, 48.54186866855671], [2.682085620166967, 48.54150976950275], [2.679811305746344, 48.551489564509744], [2.687317836787626, 48.55377774753464], [2.687106602491555, 48.562285501802066], [2.695947503053175, 48.56898442770742], [2.710544297168147, 48.5730739617772], [2.724280605151782, 48.56900814389056], [2.728129710492116, 48.54665697867847]]]}";9825175.93415;13314.2546806;77269;23.63;96.56;87.45;76.46;104.62;122.73;129.77;149.89;71.43;17.1;10.06
48.557962121, 2.87940459563;"{""type"": ""Polygon"", ""coordinates"": [[[2.890615746873114, 48.558704802740564], [2.88414759231487, 48.55691964572869], [2.882662897852434, 48.54998432560836], [2.87655661738189, 48.55022038890143], [2.870495674513102, 48.56357646236897], [2.881746546406887, 48.564071531415735], [2.890615746873114, 48.558704802740564]]]}";1299773.9291;5015.29446711;77052;4.0;8.0;10.0;21.0;29.0;28.0;40.0;27.0;11.0;1.0;1.0
48.528226824, 1.85072523379;"{""type"": ""Polygon"", ""coordinates"": [[[1.894088020921705, 48.53500345425964], [1.891951119141093, 48.5316677964769], [1.899788886344009, 48.53034037519735], [1.901043358752641, 48.52310609566923], [1.884742582223116, 48.520254544376094], [1.880053461791096, 48.51490308874694], [1.867792578960378, 48.516094018558185], [1.858644290956615, 48.505965997818286], [1.838860649912232, 48.50169020941045], [1.842888707673259, 48.495269066048735], [1.829657179939494, 48.496496580199526], [1.821112313927052, 48.50638597844707], [1.811657179382311, 48.50851880949753], [1.811279308139005, 48.51615189575592], [1.817894948273006, 48.53084953770735], [1.830126719282836, 48.530338301034746], [1.832417595637014, 48.563657684414665], [1.841168772801863, 48.5583275589158], [1.855676087100413, 48.5627514778917], [1.855061323249343, 48.55624711226318], [1.873706454451348, 48.54842013108442], [1.8766054692891, 48.539538131197084], [1.884851912511355, 48.5374707898588], [1.885711955898952, 48.53707916730416], [1.894088020921705, 48.53500345425964]]]}";25700995.2535;25245.380162;78003;65.32;119.61;142.96;226.53;252.48;281.97;227.29;206.9;124.54;21.18;17.04
48.5353532073, 1.94283252747;"{""type"": ""Polygon"", ""coordinates"": [[[1.934301975484124, 48.548696263750124], [1.943983194205536, 48.54217454400057], [1.975933231446749, 48.53609375481885], [1.978618907703983, 48.52599454980235], [1.967665497725245, 48.52613927259595], [1.952833816361528, 48.52357207815005], [1.937738454267746, 48.52030957814892], [1.929270118468139, 48.53125949157571], [1.917743285151472, 48.533429680212606], [1.917526346533284, 48.538311901858904], [1.908267516173779, 48.548960614240904], [1.922726036704827, 48.54948747915986], [1.92746620209576, 48.55150449971729], [1.934301975484124, 48.548696263750124]]]}";8853360.90762;13964.9118529;78569;3.98;38.55;44.17;37.19;45.5;77.04;71.73;56.12;46.82;13.95;6.97
48.5218038305, 2.38744864565;"{""type"": ""Polygon"", ""coordinates"": [[[2.404589818325977, 48.53150378760508], [2.400414727168422, 48.52763944322661], [2.413285477998616, 48.52478078287836], [2.41195853040517, 48.50658081698791], [2.405905526481685, 48.50379702878645], [2.365975875065911, 48.51003725026706], [2.362547478774733, 48.52795118327464], [2.372139084955178, 48.536788243075456], [2.37435303027989, 48.545798054423045], [2.384668196326824, 48.54058747070969], [2.387469941719031, 48.53913845044942], [2.404589818325977, 48.53150378760508]]]}";11362087.7634;14104.5228096;91045;100.0;319.0;366.0;405.0;547.0;565.0;494.0;420.0;295.0;57.0;19.0
48.5148445733, 3.23864219969;"{""type"": ""Polygon"", ""coordinates"": [[[3.24231765286938, 48.523796014238314], [3.255343343318516, 48.52167667338906], [3.264851144078496, 48.513873979073985], [3.258737282353807, 48.510434521625704], [3.242976497549788, 48.5063528793456], [3.219965933209518, 48.503099248932486], [3.221665421584304, 48.522682156552165], [3.232266746053897, 48.52651990602152], [3.24231765286938, 48.523796014238314]]]}";5626897.37529;9558.79248526;77260;29.64;71.14;78.06;77.07;87.94;104.74;106.72;91.9;56.32;3.95;4.94
48.5071185501, 3.13966913468;"{""type"": ""Polygon"", ""coordinates"": [[[3.163487920440644, 48.49946971640202], [3.16158574822836, 48.49817959156773], [3.140377587862156, 48.49705507360836], [3.123015944136458, 48.500414446812236], [3.117992118479407, 48.50625871865013], [3.123365210799356, 48.507138818191805], [3.124294769159384, 48.5171865918776], [3.142078707259839, 48.5212073766613], [3.144187006661638, 48.514276686105255], [3.15320186146086, 48.51179292846925], [3.163487920440644, 48.49946971640202]]]}";5415258.14341;9845.08512996;77068;1.0;5.97;6.97;5.97;18.91;14.93;13.94;12.94;7.96;2.99;1.0
48.4958073654, 2.59943670506;"{""type"": ""Polygon"", ""coordinates"": [[[2.585841853724636, 48.51474819688989], [2.63388127246097, 48.49707880682856], [2.629249114823319, 48.489312271148584], [2.613322811625607, 48.48866884561734], [2.605754738415405, 48.47750032603573], [2.583847789390147, 48.47822476129807], [2.57974904301107, 48.49203721677357], [2.584115082038545, 48.49400611078513], [2.574820174828295, 48.505347708736686], [2.575605251685478, 48.511056339500406], [2.581383334625378, 48.516394577667214], [2.585841853724636, 48.51474819688989]]]}";10616482.7982;14281.6085304;77518;0.98;12.7;8.79;10.75;13.68;14.66;15.63;26.38;17.59;1.95;1.95
48.4786214342, 3.11764549545;"{""type"": ""Polygon"", ""coordinates"": [[[3.110850652331836, 48.49778237374741], [3.118435402013812, 48.49391723105266], [3.123716716407245, 48.48388041939046], [3.150983936432506, 48.48196091544666], [3.151760448417478, 48.47814227902307], [3.139138238586183, 48.47545361675215], [3.141688815527844, 48.465003612300684], [3.13999308897375, 48.46129255976926], [3.145511861154424, 48.458069723155916], [3.122686358436048, 48.456162200524886], [3.115301190590696, 48.46204070397022], [3.102571931880204, 48.463449541726426], [3.095946441487211, 48.473278512148525], [3.109572951575398, 48.48251200681707], [3.091091884019473, 48.49487608621237], [3.088842206760386, 48.50543981794937], [3.102295719435812, 48.507301181429675], [3.110850652331836, 48.49778237374741]]]}";12036789.4897;18986.0193796;77159;38.02;120.74;120.84;151.54;188.33;178.32;179.71;152.08;106.93;22.27;12.14
48.4924973341, 3.17830040911;"{""type"": ""Polygon"", ""coordinates"": [[[3.187237029755859, 48.501910849734344], [3.194208267136016, 48.49728977435491], [3.199868917707061, 48.49912633543627], [3.201897398682276, 48.49122388565852], [3.189692076684627, 48.48874445725687], [3.18175893508873, 48.48202315567259], [3.162516068557243, 48.480753248351135], [3.16158574822836, 48.49817959156773], [3.163487920440644, 48.49946971640202], [3.170384861827755, 48.503277198776814], [3.187237029755859, 48.501910849734344]]]}";5210287.83087;9461.32062767;77461;4.0;7.0;6.0;11.0;19.0;37.0;19.0;23.0;14.0;4.0;0.0
48.8507542707, 3.13900221824;"{""type"": ""Polygon"", ""coordinates"": [[[3.17349579877563, 48.84807472756282], [3.16191634346683, 48.8384102774564], [3.142224416327707, 48.8338745057749], [3.124531189918061, 48.83834185146959], [3.118430294935679, 48.855848804168296], [3.112333439052694, 48.85641201985936], [3.110399905778375, 48.86265749446218], [3.108966231027448, 48.869520089940295], [3.124656435949623, 48.869475802882135], [3.126837572351828, 48.86432554574271], [3.147337595511195, 48.860917196790616], [3.17349579877563, 48.84807472756282]]]}";10239667.798;13908.7174825;77411;8.14;17.29;19.32;35.59;33.56;44.75;41.69;20.34;15.25;2.03;0.0
48.8626436779, 2.33635404248;"{""type"": ""Polygon"", ""coordinates"": [[[2.35089011232106, 48.86336186091153], [2.350153725422161, 48.86199505440424], [2.344605226569384, 48.854054988219964], [2.33300778538951, 48.85928001301386], [2.320835907210334, 48.863046958714726], [2.325918449733179, 48.869522319905315], [2.328017679851262, 48.8698552252412], [2.35089011232106, 48.86336186091153]]]}";1932718.00236;5946.1731343;75101;66.02;849.24;1795.75;1770.44;1514.29;1200.87;1047.37;953.79;880.99;494.01;257.91
48.8433853111, 3.27093052167;"{""type"": ""Polygon"", ""coordinates"": [[[3.263114535883843, 48.860314550821684], [3.297234823119321, 48.84924008003888], [3.288671272472699, 48.837548385548764], [3.293299529470396, 48.827427921976515], [3.290808292209308, 48.82395032744543], [3.28097005202487, 48.8258669260261], [3.265234779807471, 48.83371259276974], [3.246054963166006, 48.83376827185725], [3.246303640526601, 48.84066426506585], [3.252909161917362, 48.84571066661794], [3.247761084821539, 48.851058054777425], [3.253077192367872, 48.860008921117235], [3.258818092440065, 48.86088897681862], [3.263114535883843, 48.860314550821684]]]}";9555694.8998;13481.9507158;77417;2.0;8.0;12.0;12.0;17.0;14.0;14.0;13.0;11.0;3.0;2.0
48.8452019859, 2.78707551714;"{""type"": ""Polygon"", ""coordinates"": [[[2.798535141468485, 48.856367847846464], [2.794583332853174, 48.84309223030238], [2.802521952087357, 48.8295077701968], [2.785035896004382, 48.82836376983745], [2.772211521141142, 48.83842253950999], [2.777640811901784, 48.842304614688864], [2.774148493453716, 48.851095132473525], [2.772326563864292, 48.85467228424252], [2.778177189447053, 48.85975778218381], [2.7866856380098, 48.860174208886974], [2.800419127759853, 48.862565329585344], [2.798535141468485, 48.856367847846464]]]}";5654224.50647;10973.7454134;77449;143.42;822.75;978.67;770.89;656.66;513.29;400.56;271.56;149.68;29.69;7.49
48.8439601446, 1.7970342124;"{""type"": ""Polygon"", ""coordinates"": [[[1.812375346749917, 48.85309318681077], [1.812257508883544, 48.84489106661379], [1.799310140519672, 48.83134138116397], [1.785358312131716, 48.83042047774146], [1.778035778876404, 48.83233633101913], [1.791551221585194, 48.85445247614626], [1.805827553117251, 48.860086420914804], [1.812375346749917, 48.85309318681077]]]}";5016813.6303;9087.19056544;78036;6.0;10.0;10.0;19.0;30.0;40.0;45.0;35.0;29.0;8.0;4.0
48.8366310988, 2.56437382066;"{""type"": ""Polygon"", ""coordinates"": [[[2.574090166661336, 48.85344885031924], [2.586844900137504, 48.834365842951854], [2.586092467076905, 48.828288336160966], [2.592595483837524, 48.826808121900164], [2.595608064316114, 48.81420237811233], [2.591814048105769, 48.80721450037912], [2.568597252690827, 48.818136331698064], [2.572544772971803, 48.82354192388998], [2.536581760804555, 48.838457634146714], [2.537786069181272, 48.84027585680647], [2.534515176056288, 48.845168298156686], [2.529378935265346, 48.84412799290609], [2.515566339415374, 48.85132517769515], [2.520802405942388, 48.85223413197506], [2.561282230139063, 48.85386142180532], [2.567186402232417, 48.85754572043647], [2.574090166661336, 48.85344885031924]]]}";12728254.0718;18776.7014429;93051;688.38;3510.56;5005.64;4709.52;4381.73;4097.44;3924.19;3745.18;2966.64;713.88;138.4
48.8350723286, 2.42011860443;"{""type"": ""Polygon"", ""coordinates"": [[[2.39929867688891, 48.84812076054849], [2.41605610330786, 48.846608552490935], [2.412146639897848, 48.83385863238325], [2.421582259458215, 48.835855181305625], [2.421145808863009, 48.841479738466475], [2.427533090870349, 48.84151009649752], [2.437204532528527, 48.84069264094802], [2.440784783194235, 48.84586926298946], [2.44788112515547, 48.84478343970291], [2.46714539212165, 48.83902565943153], [2.465790738309519, 48.82621250069529], [2.462918488310315, 48.81826830417864], [2.46129014737964, 48.81834883420214], [2.437418015640412, 48.81821954830207], [2.429434586078052, 48.82368492493542], [2.419942763417686, 48.824132895419325], [2.402135957175517, 48.82966605441324], [2.3903631803561, 48.82558951122954], [2.365995153325458, 48.84498677154064], [2.364442557566516, 48.84618319774893], [2.369215957312921, 48.853169291746134], [2.39929867688891, 48.84812076054849]]]}";15932185.9473;22225.2090081;75112;829.74;6064.62;14211.88;11996.69;10682.75;9328.63;8533.53;8082.61;7375.7;3093.36;968.66
48.8215466066, 3.18035266336;"{""type"": ""Polygon"", ""coordinates"": [[[3.201793046808279, 48.82426499288203], [3.19340096934527, 48.81227722189414], [3.195886614173283, 48.80876009155778], [3.189922326776013, 48.80714110840619], [3.183450758189713, 48.80689257758538], [3.165608010378339, 48.81876002300477], [3.163751472290568, 48.81849471017097], [3.163295678414217, 48.82795002150861], [3.169693660193635, 48.82771460974005], [3.165192122173503, 48.835499667306976], [3.175767858162684, 48.839784145094136], [3.183697569453838, 48.82619950943275], [3.201793046808279, 48.82426499288203]]]}";5372250.47705;11173.0996899;77106;18.46;42.76;35.96;52.48;67.05;85.52;84.54;70.94;39.84;3.89;2.92
48.8248402117, 2.8978306565;"{""type"": ""Polygon"", ""coordinates"": [[[2.91826031646363, 48.83537959438767], [2.917540210716035, 48.82504127579134], [2.904386086602134, 48.82050305594222], [2.898878310054096, 48.80793112895488], [2.875138263352071, 48.81466451934392], [2.882806791637384, 48.826031174708916], [2.892493256553498, 48.828700284422005], [2.887782046627129, 48.83130412677845], [2.891944763025468, 48.83813661524861], [2.907786706265798, 48.83913760742819], [2.91826031646363, 48.83537959438767]]]}";6194417.25591;11060.2344829;77466;8.88;16.77;11.84;19.73;28.61;35.52;37.49;21.71;19.73;4.93;0.0
48.8180832836, 1.98464115087;"{""type"": ""Polygon"", ""coordinates"": [[[1.983662263498917, 48.83342783204822], [1.998528044964602, 48.82680918628578], [1.994575546723516, 48.82125780010407], [1.999473457702443, 48.819959438182444], [2.000387179074084, 48.81373009732593], [1.996211013126726, 48.7992122454058], [1.99431895768385, 48.79919758395934], [1.986512212080829, 48.79963526533028], [1.966808038806452, 48.821126130285634], [1.970043836681507, 48.83478774598252], [1.983662263498917, 48.83342783204822]]]}";6519330.96525;10781.5090603;78165;239.65;754.45;915.35;985.52;1163.28;1247.9;1248.97;1032.84;873.77;187.38;38.85
48.8045709144, 3.19454319791;"{""type"": ""Polygon"", ""coordinates"": [[[3.218310238274309, 48.78945080382252], [3.178141806577607, 48.78843251080403], [3.162891465868972, 48.788022478699446], [3.165608010378339, 48.81876002300477], [3.183450758189713, 48.80689257758538], [3.189922326776013, 48.80714110840619], [3.195886614173283, 48.80876009155778], [3.19340096934527, 48.81227722189414], [3.201793046808279, 48.82426499288203], [3.21227274539101, 48.82459866407094], [3.220682103733074, 48.831053981241325], [3.224935143966658, 48.82282791102495], [3.213606985666464, 48.796744811332644], [3.218310238274309, 48.78945080382252]]]}";12601563.309;18789.7736797;77436;8.14;30.53;48.85;50.88;70.22;66.15;71.24;44.78;29.51;6.11;2.04
48.8069369297, 1.66708041661;"{""type"": ""Polygon"", ""coordinates"": [[[1.704389109006841, 48.80184328728364], [1.703179815629013, 48.799525369186526], [1.640744395480352, 48.79220958965615], [1.628264791021713, 48.803553921349625], [1.654027068283167, 48.8131448572833], [1.65583203954615, 48.82153719509247], [1.668007913474894, 48.823524774502246], [1.677347322270627, 48.83200565433014], [1.677834175132121, 48.82097399031981], [1.692567665794988, 48.81062625389189], [1.697818649462744, 48.81099753959806], [1.704389109006841, 48.80184328728364]]]}";11499327.1393;16011.9104621;78048;12.0;50.0;54.0;74.0;104.0;127.0;119.0;97.0;85.0;20.0;1.0
48.8131635778, 2.79269125662;"{""type"": ""Polygon"", ""coordinates"": [[[2.803145203559802, 48.829154499535775], [2.807973505135457, 48.82552849493182], [2.803110354970032, 48.806546443454856], [2.815182360508826, 48.79761141543862], [2.796064365440972, 48.793966973330974], [2.777048063870863, 48.80920401821032], [2.770420436314991, 48.820497511495724], [2.785035896004382, 48.82836376983745], [2.802521952087357, 48.8295077701968], [2.803145203559802, 48.829154499535775]]]}";7449525.81476;11747.9409431;77510;5.03;33.17;32.17;42.22;47.25;45.24;47.25;45.24;29.15;10.05;3.02
48.8217115542, 2.28773742283;"{""type"": ""Polygon"", ""coordinates"": [[[2.301440253652181, 48.825165207593535], [2.296113459201424, 48.82075599645754], [2.290844040018907, 48.81780662170739], [2.278286085134085, 48.81428344860707], [2.272526043700529, 48.814433221964535], [2.28231564410946, 48.820596317479485], [2.280820706265434, 48.82541325517247], [2.287165561700562, 48.82818152546276], [2.287920593745454, 48.828234894879444], [2.289465560914703, 48.82834430364347], [2.301440253652181, 48.825165207593535]]]}";1505261.22587;5775.12215959;92075;148.27;1108.47;2236.11;1895.54;1852.94;1810.59;1653.9;1654.64;1313.13;557.83;117.88
48.804314864, 2.22676314289;"{""type"": ""Polygon"", ""coordinates"": [[[2.232761522792067, 48.82272216943506], [2.236454892512658, 48.82142152867512], [2.251947843778519, 48.816398165532554], [2.255049269358065, 48.81013248345956], [2.241488431931467, 48.80290975892293], [2.234942082359854, 48.7953951408181], [2.234936982224955, 48.78458583962242], [2.226669567097769, 48.78161053504893], [2.223257589758561, 48.78601363651225], [2.211657395625188, 48.78815075475523], [2.202565725508334, 48.798428132345435], [2.205599986571764, 48.80924097334858], [2.220658243345431, 48.81518354188355], [2.216879879789824, 48.81786846792833], [2.224874549743878, 48.82342513101187], [2.232761522792067, 48.82272216943506]]]}";9953114.08356;13558.1381126;92048;373.02;1337.3;2574.56;2738.27;3047.38;3139.46;3089.9;2623.18;1921.19;772.63;286.52
48.7982877956, 3.41794040671;"{""type"": ""Polygon"", ""coordinates"": [[[3.409243172929223, 48.78379314253935], [3.411919319613645, 48.78860655860058], [3.389068088036471, 48.8105665517601], [3.390064389510478, 48.81646617593892], [3.416256356885136, 48.81789404930987], [3.404902159299908, 48.80855760330266], [3.423177560799689, 48.800551436106275], [3.441857012294844, 48.80365461726317], [3.443720614130132, 48.79072148522475], [3.441574223720177, 48.7823241290247], [3.436767807926743, 48.7846820195848], [3.430381825970084, 48.77959004657331], [3.424360769292005, 48.7849180051308], [3.409243172929223, 48.78379314253935]]]}";7911865.79925;15903.6842439;77287;6.74;15.41;16.37;32.74;31.77;30.81;26.96;39.48;28.88;7.7;0.96
48.8028092558, 1.76814084433;"{""type"": ""Polygon"", ""coordinates"": [[[1.791301240621897, 48.81018789150553], [1.789324754146444, 48.7980199349736], [1.781726968278543, 48.79454789502929], [1.768596377450718, 48.7989257640338], [1.768052294200218, 48.79174665359435], [1.729535444810685, 48.798319790286726], [1.748412990899713, 48.80317603270427], [1.781196285059723, 48.81647017223665], [1.791301240621897, 48.81018789150553]]]}";5942640.68357;12173.6308919;78513;22.61;82.19;103.8;105.86;145.94;140.8;132.58;124.36;90.44;28.78;10.28
48.7777893863, 3.38264975204;"{""type"": ""Polygon"", ""coordinates"": [[[3.409243172929223, 48.78379314253935], [3.395910619973419, 48.75906823259599], [3.399104419882185, 48.75510823128838], [3.394408441432665, 48.745978383458166], [3.388214067613792, 48.74372439109043], [3.387272596504962, 48.739703917221604], [3.372985446789747, 48.7405363881673], [3.373649053361111, 48.74302158751929], [3.382822883962358, 48.75055529027457], [3.364516790741975, 48.763079290483866], [3.353892730056981, 48.76509931837574], [3.352256427269788, 48.76958375507877], [3.362032096995133, 48.77520713546248], [3.358987422349004, 48.78597291184262], [3.353715255028346, 48.78638883510607], [3.359006468340582, 48.79816812827331], [3.3685254374995, 48.79569901950319], [3.369325313337005, 48.80144771186428], [3.389068088036471, 48.8105665517601], [3.411919319613645, 48.78860655860058], [3.409243172929223, 48.78379314253935]]]}";19313403.0245;21756.7104743;77093;3.56;8.02;19.6;16.03;30.29;36.52;22.27;23.16;14.25;3.56;0.0
48.7882103105, 3.33363834432;"{""type"": ""Polygon"", ""coordinates"": [[[3.359006468340582, 48.79816812827331], [3.353715255028346, 48.78638883510607], [3.346022766660524, 48.786250387605506], [3.323208038600635, 48.75786861043997], [3.317484366528456, 48.75663197592239], [3.315522955485283, 48.76895205365196], [3.321281391512592, 48.77738336494057], [3.30957245049567, 48.781926789327954], [3.321559826147473, 48.79214842438384], [3.333170997973125, 48.79217338466855], [3.325530311773933, 48.799479791734484], [3.317257182791002, 48.800369689022965], [3.328131077436026, 48.810447317792416], [3.341154225282838, 48.81005450217156], [3.35554091535328, 48.80377520121617], [3.359006468340582, 48.79816812827331]]]}";10342976.3485;17518.6460349;77423;12.84;28.63;29.62;33.57;52.33;65.17;60.23;50.36;27.65;3.95;0.0
