City;Unemployment rate
Antony (92002);9,4
Asnières-sur-Seine (92004);11,4
Bagneux (92007);16,5
Bois-Colombes (92009);10,3
Boulogne-Billancourt (92012);9,6
Bourg-la-Reine (92014);9,8
Châtenay-Malabry (92019);11,6
Châtillon (92020);9,1
Chaville (92022);7,4
Clamart (92023);10,5
Clichy (92024);14,4
Colombes (92025);14,5
Courbevoie (92026);9,1
Fontenay-aux-Roses (92032);10,5
Garches (92033);9,1
Garenne-Colombes (92035);8,9
Gennevilliers (92036);21,1
Issy-les-Moulineaux (92040);8,3
Levallois-Perret (92044);10,3
Malakoff (92046);12,3
Marnes-la-Coquette (92047);8,5
Meudon (92048);9,4
Montrouge (92049);10,1
Nanterre (92050);15,7
Neuilly-sur-Seine (92051);8,8
Plessis-Robinson (92060);8,1
Puteaux (92062);10,5
Rueil-Malmaison (92063);9,1
Saint-Cloud (92064);7,8
Sceaux (92071);9,4
Sèvres (92072);10,3
Suresnes (92073);10,3
Vanves (92075);9,2
Vaucresson (92076);8,2
Ville-d'Avray (92077);8,4
Villeneuve-la-Garenne (92078);19,2
