City;Unemployment rate
Moigny-sur-École (91408);8,4
Molières (91411);5,4
Mondeville (91412);9,6
Monnerville (91414);9,7
Montgeron (91421);10,4
Montlhéry (91425);9,2
Morangis (91432);9,6
Morigny-Champigny (91433);6,9
Morsang-sur-Orge (91434);12,0
Morsang-sur-Seine (91435);7,4
Nainville-les-Roches (91441);7,1
Norville (91457);8,2
Nozay (91458);6,6
Ollainville (91461);6,6
Oncy-sur-École (91463);7,2
Ormoy (91468);7,9
Ormoy-la-Rivière (91469);7,5
Orsay (91471);8,1
Orveau (91473);10,0
Palaiseau (91477);7,7
Paray-Vieille-Poste (91479);8,8
Pecqueuse (91482);3,5
Plessis-Pâté (91494);7,2
Plessis-Saint-Benoist (91495);10,8
Prunay-sur-Essonne (91507);8,4
Puiselet-le-Marais (91508);6,7
Pussay (91511);8,2
Quincy-sous-Sénart (91514);13,1
Richarville (91519);8,3
Ris-Orangis (91521);15,8
Roinville (91525);7,3
Roinvilliers (91526);3,8
Saclas (91533);10,3
Saclay (91534);5,1
Saint-Aubin (91538);6,6
Saint-Chéron (91540);7,9
Saint-Cyr-la-Rivière (91544);9,1
Saint-Cyr-sous-Dourdan (91546);5,9
Saint-Escobille (91547);10,7
Sainte-Geneviève-des-Bois (91549);12,8
Saint-Germain-lès-Arpajon (91552);11,5
Saint-Germain-lès-Corbeil (91553);7,4
Saint-Hilaire (91556);7,0
Saint-Jean-de-Beauregard (91560);4,6
Saint-Maurice-Montcouronne (91568);5,0
Saint-Michel-sur-Orge (91570);12,8
Saint-Pierre-du-Perray (91573);9,6
Saintry-sur-Seine (91577);9,9
Saint-Sulpice-de-Favières (91578);8,3
Saint-Vrain (91579);6,0
Saint-Yon (91581);8,7
Saulx-les-Chartreux (91587);8,8
Savigny-sur-Orge (91589);11,3
Sermaise (91593);7,0
Soisy-sur-École (91599);7,6
Soisy-sur-Seine (91600);7,0
Souzy-la-Briche (91602);12,4
Congerville-Thionville (91613);5,7
Tigery (91617);8,1
Torfou (91619);7,1
Valpuiseaux (91629);7,7
Val-Saint-Germain (91630);6,1
Varennes-Jarcy (91631);6,5
Vaugrigneuse (91634);5,4
Vauhallan (91635);5,9
Vayres-sur-Essonne (91639);7,5
Verrières-le-Buisson (91645);7,7
Vert-le-Grand (91648);6,4
Vert-le-Petit (91649);8,4
Videlles (91654);7,6
Vigneux-sur-Seine (91657);15,1
Villabé (91659);10,4
Villebon-sur-Yvette (91661);6,7
Villeconin (91662);8,1
Ville-du-Bois (91665);9,4
Villejust (91666);7,5
Villemoisson-sur-Orge (91667);7,4
Villeneuve-sur-Auvers (91671);5,9
Villiers-le-Bâcle (91679);7,3
Villiers-sur-Orge (91685);9,3
Viry-Châtillon (91687);13,5
Wissous (91689);7,9
Yerres (91691);8,5
Ulis (91692);15,9
