City;Unemployment rate
Ableiges (95002);8,8
Aincourt (95008);8,2
Ambleville (95011);13,1
Amenucourt (95012);12,5
Andilly (95014);9,9
Argenteuil (95018);18,3
Arnouville (95019);16,5
Arronville (95023);8,9
Arthies (95024);8,9
Asnières-sur-Oise (95026);7,9
Attainville (95028);9,7
Auvers-sur-Oise (95039);9,6
Avernes (95040);8,8
Baillet-en-France (95042);7,0
Banthelu (95046);5,2
Beauchamp (95051);10,4
Beaumont-sur-Oise (95052);14,0
Bellay-en-Vexin (95054);8,5
Bellefontaine (95055);7,8
Belloy-en-France (95056);7,2
Bernes-sur-Oise (95058);13,4
Berville (95059);5,5
Bessancourt (95060);9,7
Béthemont-la-Forêt (95061);9,7
Bezons (95063);16,0
Boisemont (95074);10,4
Boissy-l'Aillerie (95078);12,0
Bonneuil-en-France (95088);17,5
Bouffémont (95091);11,5
Bouqueval (95094);11,3
Bray-et-Lû (95101);10,5
Bréançon (95102);7,3
Brignancourt (95110);9,0
Bruyères-sur-Oise (95116);12,4
Buhy (95119);10,7
Butry-sur-Oise (95120);10,1
Cergy (95127);16,2
Champagne-sur-Oise (95134);11,0
Chapelle-en-Vexin (95139);9,8
Charmont (95141);11,1
Chars (95142);8,4
Châtenay-en-France (95144);4,5
Chaumontel (95149);7,5
Chaussy (95150);12,1
Chauvry (95151);12,2
Chennevières-lès-Louvres (95154);10,7
Chérence (95157);4,7
Cléry-en-Vexin (95166);5,1
Commeny (95169);8,0
Condécourt (95170);10,3
Cormeilles-en-Parisis (95176);9,4
Cormeilles-en-Vexin (95177);6,7
Courcelles-sur-Viosne (95181);6,2
Courdimanche (95183);9,9
Deuil-la-Barre (95197);10,0
Domont (95199);9,5
Eaubonne (95203);10,4
Écouen (95205);9,0
Enghien-les-Bains (95210);10,1
Ennery (95211);6,7
Épiais-lès-Louvres (95212);7,5
Épiais-Rhus (95213);6,1
Épinay-Champlâtreux (95214);6,5
Éragny (95218);11,8
Ermont (95219);11,6
Ézanville (95229);11,2
Fontenay-en-Parisis (95241);7,3
Fosses (95250);11,1
Franconville (95252);12,6
Frémainville (95253);8,7
Frémécourt (95254);6,2
Frépillon (95256);7,6
Frette-sur-Seine (95257);9,3
Frouville (95258);6,4
Gadancourt (95259);2,8
Garges-lès-Gonesse (95268);21,7
Genainville (95270);5,4
Génicourt (95271);6,6
Gonesse (95277);17,0
Goussainville (95280);17,8
Gouzangrez (95282);4,5
Grisy-les-Plâtres (95287);10,6
Groslay (95288);11,0
Guiry-en-Vexin (95295);8,5
Haravilliers (95298);5,3
Haute-Isle (95301);13,2
Heaulme (95303);5,3
Hédouville (95304);6,5
Herblay (95306);9,6
Hérouville (95308);6,8
Hodent (95309);5,4
Isle-Adam (95313);10,1
Jagny-sous-Bois (95316);5,7
Jouy-le-Moutier (95323);11,3
Labbeville (95328);5,8
Lassy (95331);2,1
Livilliers (95341);6,5
Longuesse (95348);7,5
Louvres (95351);12,6
Luzarches (95352);9,7
Maffliers (95353);6,3
Magny-en-Vexin (95355);14,6
Mareil-en-France (95365);8,4
Margency (95369);6,9
Marines (95370);9,7
Marly-la-Ville (95371);9,1
Maudétour-en-Vexin (95379);3,3
Menouville (95387);8,1
Menucourt (95388);9,3
Mériel (95392);8,2
Méry-sur-Oise (95394);8,8
Mesnil-Aubry (95395);7,3
Moisselles (95409);5,6
Montgeroult (95422);7,2
Montigny-lès-Cormeilles (95424);14,7
Montlignon (95426);8,3
Montmagny (95427);14,9
Montmorency (95428);10,9
Montreuil-sur-Epte (95429);10,4
Montsoult (95430);8,2
Mours (95436);6,5
Moussy (95438);7,5
Nerville-la-Forêt (95445);6,2
Nesles-la-Vallée (95446);7,3
Neuilly-en-Vexin (95447);7,4
Neuville-sur-Oise (95450);7,8
Nointel (95452);7,0
Noisy-sur-Oise (95456);7,1
Nucourt (95459);8,6
Omerville (95462);11,4
Osny (95476);11,6
Parmain (95480);9,1
Perchay (95483);10,4
Persan (95487);17,3
Pierrelaye (95488);12,6
Piscop (95489);9,2
Plessis-Bouchard (95491);8,7
Plessis-Gassot (95492);2,4
Plessis-Luzarches (95493);8,0
Pontoise (95500);12,6
Presles (95504);7,6
Puiseux-en-France (95509);9,2
Puiseux-Pontoise (95510);9,4
Roche-Guyon (95523);12,2
Roissy-en-France (95527);9,8
Ronquerolles (95529);8,9
Sagy (95535);6,4
Saint-Brice-sous-Forêt (95539);11,9
Saint-Clair-sur-Epte (95541);17,6
Saint-Cyr-en-Arthies (95543);8,3
Saint-Gervais (95554);5,8
Saint-Gratien (95555);13,7
Saint-Leu-la-Forêt (95563);10,1
Saint-Martin-du-Tertre (95566);9,7
Saint-Ouen-l'Aumône (95572);13,3
Saint-Prix (95574);9,8
Saint-Witz (95580);7,2
Sannois (95582);13,2
Santeuil (95584);7,4
Sarcelles (95585);22,0
Seraincourt (95592);8,3
Seugy (95594);8,9
Soisy-sous-Montmorency (95598);12,0
Survilliers (95604);10,5
Taverny (95607);10,4
Théméricourt (95610);8,0
Theuville (95611);0,0
Thillay (95612);12,8
Us (95625);6,9
Vallangoujard (95627);6,5
Valmondois (95628);9,7
Vaudherland (95633);14,0
Vauréal (95637);11,2
Vémars (95641);9,4
Vétheuil (95651);8,5
Viarmes (95652);9,9
Vienne-en-Arthies (95656);11,4
Vigny (95658);10,5
Villaines-sous-Bois (95660);7,9
Villeron (95675);7,1
Villers-en-Arthies (95676);8,2
Villiers-Adam (95678);8,5
Villiers-le-Bel (95680);20,4
Villiers-le-Sec (95682);12,2
Wy-dit-Joli-Village (95690);4,4
